"","Year","Cause","Age","Female","Male"
"2020",1990,1,Total,114214,142582
"2020",1990,1,0,7521,9783
"2020",1990,1,1,631,728
"2020",1990,1,2,302,376
"2020",1990,1,3,157,237
"2020",1990,1,4,140,164
"2020",1990,1,5 - 9,464,610
"2020",1990,1,10 - 14,414,710
"2020",1990,1,15 - 19,641,1309
"2020",1990,1,20 - 24,796,1683
"2020",1990,1,25 - 29,882,1567
"2020",1990,1,30 - 34,1151,1799
"2020",1990,1,35 - 39,1632,2502
"2020",1990,1,40 - 44,2101,3603
"2020",1990,1,45 - 49,2722,5113
"2020",1990,1,50 - 54,3625,7336
"2020",1990,1,55 - 59,5115,10602
"2020",1990,1,60 - 64,7193,14085
"2020",1990,1,65 - 69,9423,16467
"2020",1990,1,70 - 74,12031,17077
"2020",1990,1,75 - 79,16584,17952
"2020",1990,1,80 - 84,17371,14586
"2020",1990,1,85 - 89,22671,13114
"2020",1990,1,90 - 94,0,0
"2020",1990,1,95+,0,0
"2020",1990,1,UNK,647,1179
"2020",1990,2,Total,3767,4773
"2020",1990,2,0,507,710
"2020",1990,2,1,128,131
"2020",1990,2,2,50,42
"2020",1990,2,3,16,21
"2020",1990,2,4,11,15
"2020",1990,2,5 - 9,19,39
"2020",1990,2,10 - 14,19,32
"2020",1990,2,15 - 19,40,43
"2020",1990,2,20 - 24,49,52
"2020",1990,2,25 - 29,80,57
"2020",1990,2,30 - 34,90,67
"2020",1990,2,35 - 39,90,147
"2020",1990,2,40 - 44,76,174
"2020",1990,2,45 - 49,95,177
"2020",1990,2,50 - 54,126,241
"2020",1990,2,55 - 59,163,315
"2020",1990,2,60 - 64,213,410
"2020",1990,2,65 - 69,259,417
"2020",1990,2,70 - 74,342,462
"2020",1990,2,75 - 79,446,492
"2020",1990,2,80 - 84,436,355
"2020",1990,2,85 - 89,488,336
"2020",1990,2,90 - 94,0,0
"2020",1990,2,95+,0,0
"2020",1990,2,UNK,24,38
"2020",1990,3,Total,20941,26517
"2020",1990,3,0,36,26
"2020",1990,3,1,17,22
"2020",1990,3,2,20,22
"2020",1990,3,3,21,28
"2020",1990,3,4,18,21
"2020",1990,3,5 - 9,82,73
"2020",1990,3,10 - 14,74,83
"2020",1990,3,15 - 19,72,97
"2020",1990,3,20 - 24,86,138
"2020",1990,3,25 - 29,145,140
"2020",1990,3,30 - 34,276,187
"2020",1990,3,35 - 39,510,310
"2020",1990,3,40 - 44,710,646
"2020",1990,3,45 - 49,1020,1096
"2020",1990,3,50 - 54,1294,1844
"2020",1990,3,55 - 59,1799,2771
"2020",1990,3,60 - 64,2327,3631
"2020",1990,3,65 - 69,2699,4073
"2020",1990,3,70 - 74,2795,3961
"2020",1990,3,75 - 79,2956,3468
"2020",1990,3,80 - 84,2159,2309
"2020",1990,3,85 - 89,1751,1452
"2020",1990,3,90 - 94,0,0
"2020",1990,3,95+,0,0
"2020",1990,3,UNK,74,119
"2020",1990,4,Total,54808,60929
"2020",1990,4,0,294,399
"2020",1990,4,1,42,79
"2020",1990,4,2,30,26
"2020",1990,4,3,21,18
"2020",1990,4,4,19,5
"2020",1990,4,5 - 9,45,55
"2020",1990,4,10 - 14,51,67
"2020",1990,4,15 - 19,103,125
"2020",1990,4,20 - 24,136,171
"2020",1990,4,25 - 29,183,217
