"","Year","Cause","Age","Female","Male"
"2450",1990,1,Total,1035046,1113417
"2450",1990,1,0,16495,21856
"2450",1990,1,1,1254,1548
"2450",1990,1,2,706,1027
"2450",1990,1,3,552,757
"2450",1990,1,4,450,637
"2450",1990,1,5 - 9,1632,2363
"2450",1990,1,10 - 14,1677,2764
"2450",1990,1,15 - 19,4040,11671
"2450",1990,1,20 - 24,4820,16202
"2450",1990,1,25 - 29,6785,19794
"2450",1990,1,30 - 34,9249,24263
"2450",1990,1,35 - 39,11492,27601
"2450",1990,1,40 - 44,14608,29861
"2450",1990,1,45 - 49,18759,33097
"2450",1990,1,50 - 54,25195,41557
"2450",1990,1,55 - 59,37338,60527
"2450",1990,1,60 - 64,60712,94119
"2450",1990,1,65 - 69,88977,128356
"2450",1990,1,70 - 74,112905,147711
"2450",1990,1,75 - 79,143241,157873
"2450",1990,1,80 - 84,162792,137533
"2450",1990,1,85 - 89,311208,151897
"2450",1990,1,90 - 94,0,0
"2450",1990,1,95+,0,0
"2450",1990,1,UNK,159,403
"2450",1990,2,Total,15488,14936
"2450",1990,2,0,326,408
"2450",1990,2,1,73,74
"2450",1990,2,2,30,39
"2450",1990,2,3,16,26
"2450",1990,2,4,13,23
"2450",1990,2,5 - 9,50,60
"2450",1990,2,10 - 14,42,36
"2450",1990,2,15 - 19,60,79
"2450",1990,2,20 - 24,111,126
"2450",1990,2,25 - 29,183,309
"2450",1990,2,30 - 34,228,508
"2450",1990,2,35 - 39,254,634
"2450",1990,2,40 - 44,293,657
"2450",1990,2,45 - 49,320,583
"2450",1990,2,50 - 54,380,575
"2450",1990,2,55 - 59,541,698
"2450",1990,2,60 - 64,847,1088
"2450",1990,2,65 - 69,1196,1495
"2450",1990,2,70 - 74,1557,1761
"2450",1990,2,75 - 79,2048,1940
"2450",1990,2,80 - 84,2360,1778
"2450",1990,2,85 - 89,4557,2037
"2450",1990,2,90 - 94,0,0
"2450",1990,2,95+,0,0
"2450",1990,2,UNK,3,2
"2450",1990,3,Total,240779,271295
"2450",1990,3,0,82,79
"2450",1990,3,1,74,73
"2450",1990,3,2,58,78
"2450",1990,3,3,76,92
"2450",1990,3,4,65,72
"2450",1990,3,5 - 9,275,347
"2450",1990,3,10 - 14,253,319
