"","Year","Cause","Age","Female","Male"
"2150",1990,1,Total,31701,40443
"2150",1990,1,0,816,1188
"2150",1990,1,1,84,116
"2150",1990,1,2,51,54
"2150",1990,1,3,34,50
"2150",1990,1,4,32,38
"2150",1990,1,5 - 9,111,135
"2150",1990,1,10 - 14,122,189
"2150",1990,1,15 - 19,369,595
"2150",1990,1,20 - 24,492,926
"2150",1990,1,25 - 29,467,937
"2150",1990,1,30 - 34,453,778
"2150",1990,1,35 - 39,532,841
"2150",1990,1,40 - 44,732,993
"2150",1990,1,45 - 49,975,1357
"2150",1990,1,50 - 54,1304,1716
"2150",1990,1,55 - 59,1538,2020
"2150",1990,1,60 - 64,2083,2852
"2150",1990,1,65 - 69,2602,3580
"2150",1990,1,70 - 74,3501,4627
"2150",1990,1,75 - 79,4498,5497
"2150",1990,1,80 - 84,4742,5540
"2150",1990,1,85 - 89,6154,6384
"2150",1990,1,90 - 94,0,0
"2150",1990,1,95+,0,0
"2150",1990,1,UNK,9,30
"2150",1990,2,Total,421,578
"2150",1990,2,0,83,140
"2150",1990,2,1,8,15
"2150",1990,2,2,8,3
"2150",1990,2,3,3,4
"2150",1990,2,4,3,2
"2150",1990,2,5 - 9,13,14
"2150",1990,2,10 - 14,8,6
"2150",1990,2,15 - 19,6,7
"2150",1990,2,20 - 24,8,11
"2150",1990,2,25 - 29,14,15
"2150",1990,2,30 - 34,7,9
"2150",1990,2,35 - 39,8,7
"2150",1990,2,40 - 44,20,15
"2150",1990,2,45 - 49,14,21
"2150",1990,2,50 - 54,13,15
"2150",1990,2,55 - 59,13,23
"2150",1990,2,60 - 64,22,34
"2150",1990,2,65 - 69,21,31
"2150",1990,2,70 - 74,22,36
"2150",1990,2,75 - 79,43,42
"2150",1990,2,80 - 84,41,60
"2150",1990,2,85 - 89,43,68
"2150",1990,2,90 - 94,0,0
"2150",1990,2,95+,0,0
"2150",1990,2,UNK,0,0
"2150",1990,3,Total,5902,8113
"2150",1990,3,0,7,15
"2150",1990,3,1,11,7
"2150",1990,3,2,5,2
"2150",1990,3,3,5,8
"2150",1990,3,4,6,8
"2150",1990,3,5 - 9,20,22
"2150",1990,3,10 - 14,17,19
"2150",1990,3,15 - 19,36,50
"2150",1990,3,20 - 24,39,44
"2150",1990,3,25 - 29,57,50
"2150",1990,3,30 - 34,78,46
"2150",1990,3,35 - 39,133,99
"2150",1990,3,40 - 44,233,149
"2150",1990,3,45 - 49,345,257
"2150",1990,3,50 - 54,441,408
"2150",1990,3,55 - 59,506,568
"2150",1990,3,60 - 64,591,805
"2150",1990,3,65 - 69,643,966
"2150",1990,3,70 - 74,750,1203
"2150",1990,3,75 - 79,780,1300
"2150",1990,3,80 - 84,663,1112
"2150",1990,3,85 - 89,536,974
"2150",1990,3,90 - 94,0,0
"2150",1990,3,95+,0,0
"2150",1990,3,UNK,0,1
"2150",1990,4,Total,14478,16783
"2150",1990,4,0,14,13
"2150",1990,4,1,0,5
"2150",1990,4,2,2,2
"2150",1990,4,3,1,2
"2150",1990,4,4,1,1
"2150",1990,4,5 - 9,3,1
"2150",1990,4,10 - 14,6,4
"2150",1990,4,15 - 19,19,14
"2150",1990,4,20 - 24,31,43
"2150",1990,4,25 - 29,38,71
"2150",1990,4,30 - 34,79,95
"2150",1990,4,35 - 39,108,168
"2150",1990,4,40 - 44,219,278
"2150",1990,4,45 - 49,304,475
"2150",1990,4,50 - 54,450,676
"2150",1990,4,55 - 59,596,856
"2150",1990,4,60 - 64,856,1284
"2150",1990,4,65 - 69,1222,1643
"2150",1990,4,70 - 74,1779,2282
"2150",1990,4,75 - 79,2391,2664
"2150",1990,4,80 - 84,2648,2803
"2150",1990,4,85 - 89,3706,3394
"2150",1990,4,90 - 94,0,0
"2150",1990,4,95+,0,0
"2150",1990,4,UNK,5,9
"2150",1990,5,Total,116,143
"2150",1990,5,0,6,6
"2150",1990,5,1,4,3
"2150",1990,5,2,2,2
"2150",1990,5,3,1,0
"2150",1990,5,4,0,0
"2150",1990,5,5 - 9,0,0
"2150",1990,5,10 - 14,2,3
"2150",1990,5,15 - 19,7,4
"2150",1990,5,20 - 24,5,7
