"","Year","Cause","Age","Female","Male"
"4180",1990,1,Total,261690,282018
"4180",1990,1,0,1991,2663
"4180",1990,1,1,115,128
"4180",1990,1,2,74,82
"4180",1990,1,3,51,74
"4180",1990,1,4,51,72
"4180",1990,1,5 - 9,212,298
"4180",1990,1,10 - 14,254,449
"4180",1990,1,15 - 19,567,1875
"4180",1990,1,20 - 24,754,2639
"4180",1990,1,25 - 29,923,3167
"4180",1990,1,30 - 34,1023,2834
"4180",1990,1,35 - 39,1399,2949
"4180",1990,1,40 - 44,2287,4214
"4180",1990,1,45 - 49,3152,5875
"4180",1990,1,50 - 54,5181,10165
"4180",1990,1,55 - 59,8111,16869
"4180",1990,1,60 - 64,12693,26257
"4180",1990,1,65 - 69,20194,35692
"4180",1990,1,70 - 74,21545,31039
"4180",1990,1,75 - 79,44565,50259
"4180",1990,1,80 - 84,55346,44763
"4180",1990,1,85 - 89,81202,39655
"4180",1990,1,90 - 94,0,0
"4180",1990,1,95+,0,0
"4180",1990,1,UNK,0,0
"4180",1990,2,Total,868,1142
"4180",1990,2,0,18,13
"4180",1990,2,1,6,8
"4180",1990,2,2,0,3
"4180",1990,2,3,2,3
"4180",1990,2,4,2,1
"4180",1990,2,5 - 9,5,2
"4180",1990,2,10 - 14,3,4
"4180",1990,2,15 - 19,4,10
"4180",1990,2,20 - 24,10,11
"4180",1990,2,25 - 29,14,32
"4180",1990,2,30 - 34,10,28
"4180",1990,2,35 - 39,12,14
"4180",1990,2,40 - 44,11,34
"4180",1990,2,45 - 49,22,28
"4180",1990,2,50 - 54,21,54
"4180",1990,2,55 - 59,49,57
"4180",1990,2,60 - 64,47,131
"4180",1990,2,65 - 69,95,181
"4180",1990,2,70 - 74,73,107
"4180",1990,2,75 - 79,146,202
"4180",1990,2,80 - 84,148,143
"4180",1990,2,85 - 89,170,76
"4180",1990,2,90 - 94,0,0
"4180",1990,2,95+,0,0
"4180",1990,2,UNK,0,0
"4180",1990,3,Total,61143,86951
"4180",1990,3,0,12,9
"4180",1990,3,1,14,11
"4180",1990,3,2,11,8
"4180",1990,3,3,9,15
"4180",1990,3,4,13,20
"4180",1990,3,5 - 9,66,88
"4180",1990,3,10 - 14,67,108
"4180",1990,3,15 - 19,114,181
"4180",1990,3,20 - 24,125,196
"4180",1990,3,25 - 29,198,242
"4180",1990,3,30 - 34,353,319
"4180",1990,3,35 - 39,684,561
"4180",1990,3,40 - 44,1286,1263
"4180",1990,3,45 - 49,1812,2339
"4180",1990,3,50 - 54,3050,4374
"4180",1990,3,55 - 59,4344,7837
"4180",1990,3,60 - 64,6118,12017
"4180",1990,3,65 - 69,8112,15227
"4180",1990,3,70 - 74,6795,11691
"4180",1990,3,75 - 79,10761,14826
"4180",1990,3,80 - 84,9292,10126
"4180",1990,3,85 - 89,7907,5493
"4180",1990,3,90 - 94,0,0
"4180",1990,3,95+,0,0
"4180",1990,3,UNK,0,0
"4180",1990,4,Total,126183,108580
"4180",1990,4,0,22,31
"4180",1990,4,1,17,9
"4180",1990,4,2,10,9
"4180",1990,4,3,3,4
"4180",1990,4,4,4,6
"4180",1990,4,5 - 9,11,13
"4180",1990,4,10 - 14,32,21
"4180",1990,4,15 - 19,44,72
"4180",1990,4,20 - 24,55,115
"4180",1990,4,25 - 29,75,183
"4180",1990,4,30 - 34,111,278
"4180",1990,4,35 - 39,194,513
"4180",1990,4,40 - 44,328,1017
"4180",1990,4,45 - 49,536,1472
"4180",1990,4,50 - 54,935,2809
"4180",1990,4,55 - 59,1828,4794
"4180",1990,4,60 - 64,3420,8139
"4180",1990,4,65 - 69,6819,12025
"4180",1990,4,70 - 74,9045,11597
"4180",1990,4,75 - 79,21870,21910
"4180",1990,4,80 - 84,31136,21896
"4180",1990,4,85 - 89,49688,21667
"4180",1990,4,90 - 94,0,0
"4180",1990,4,95+,0,0
"4180",1990,4,UNK,0,0
"4180",1990,5,Total,7284,4878
"4180",1990,5,0,61,87
"4180",1990,5,1,6,8
"4180",1990,5,2,2,2
"4180",1990,5,3,2,1
"4180",1990,5,4,1,0
"4180",1990,5,5 - 9,6,5
"4180",1990,5,10 - 14,3,7
"4180",1990,5,15 - 19,11,42
"4180",1990,5,20 - 24,31,107
"4180",1990,5,25 - 29,29,133
"4180",1990,5,30 - 34,29,93
"4180",1990,5,35 - 39,29,87
"4180",1990,5,40 - 44,25,85
"4180",1990,5,45 - 49,31,71
"4180",1990,5,50 - 54,38,101
"4180",1990,5,55 - 59,47,161
"4180",1990,5,60 - 64,80,196
"4180",1990,5,65 - 69,136,262
"4180",1990,5,70 - 74,148,230
"4180",1990,5,75 - 79,505,430
"4180",1990,5,80 - 84,1240,798
"4180",1990,5,85 - 89,4824,1972
"4180",1990,5,90 - 94,0,0
"4180",1990,5,95+,0,0
"4180",1990,5,UNK,0,0
"4180",1990,6,Total,2348,2576
"4180",1990,6,0,0,0
"4180",1990,6,1,0,0
"4180",1990,6,2,0,0
"4180",1990,6,3,0,1
"4180",1990,6,4,0,0
"4180",1990,6,5 - 9,0,0
"4180",1990,6,10 - 14,2,1
"4180",1990,6,15 - 19,9,32
"4180",1990,6,20 - 24,38,251
"4180",1990,6,25 - 29,55,398
"4180",1990,6,30 - 34,31,236
"4180",1990,6,35 - 39,22,120
"4180",1990,6,40 - 44,22,62
"4180",1990,6,45 - 49,13,58
"4180",1990,6,50 - 54,27,44
"4180",1990,6,55 - 59,27,64
"4180",1990,6,60 - 64,61,90
"4180",1990,6,65 - 69,109,142
"4180",1990,6,70 - 74,140,144
"4180",1990,6,75 - 79,425,330
"4180",1990,6,80 - 84,566,309
"4180",1990,6,85 - 89,801,294
"4180",1990,6,90 - 94,0,0
"4180",1990,6,95+,0,0
"4180",1990,6,UNK,0,0
"4180",1990,7,Total,5100,4582
"4180",1990,7,0,33,41
"4180",1990,7,1,12,16
"4180",1990,7,2,6,9
"4180",1990,7,3,5,8
"4180",1990,7,4,2,9
"4180",1990,7,5 - 9,15,20
"4180",1990,7,10 - 14,20,31
"4180",1990,7,15 - 19,28,94
"4180",1990,7,20 - 24,23,76
"4180",1990,7,25 - 29,29,67
"4180",1990,7,30 - 34,33,48
"4180",1990,7,35 - 39,39,57
"4180",1990,7,40 - 44,65,68
"4180",1990,7,45 - 49,62,74
"4180",1990,7,50 - 54,102,146
"4180",1990,7,55 - 59,158,207
"4180",1990,7,60 - 64,262,323
"4180",1990,7,65 - 69,491,539
"4180",1990,7,70 - 74,513,497
"4180",1990,7,75 - 79,1017,988
"4180",1990,7,80 - 84,1082,755
"4180",1990,7,85 - 89,1103,509
"4180",1990,7,90 - 94,0,0
"4180",1990,7,95+,0,0
"4180",1990,7,UNK,0,0
"4180",1990,8,Total,13644,8943
"4180",1990,8,0,18,22
"4180",1990,8,1,6,4
"4180",1990,8,2,4,5
"4180",1990,8,3,2,5
"4180",1990,8,4,1,4
"4180",1990,8,5 - 9,11,6
"4180",1990,8,10 - 14,5,11
"4180",1990,8,15 - 19,11,16
"4180",1990,8,20 - 24,50,81
"4180",1990,8,25 - 29,141,532
"4180",1990,8,30 - 34,110,468
"4180",1990,8,35 - 39,50,256
"4180",1990,8,40 - 44,62,179
"4180",1990,8,45 - 49,78,155
"4180",1990,8,50 - 54,144,258
"4180",1990,8,55 - 59,322,408
"4180",1990,8,60 - 64,723,736
"4180",1990,8,65 - 69,1377,1101
"4180",1990,8,70 - 74,1542,1010
"4180",1990,8,75 - 79,3018,1611
"4180",1990,8,80 - 84,3163,1299
"4180",1990,8,85 - 89,2806,776
"4180",1990,8,90 - 94,0,0
"4180",1990,8,95+,0,0
"4180",1990,8,UNK,0,0
"4180",1990,9,Total,12586,16376
"4180",1990,9,0,18,29
"4180",1990,9,1,3,6
"4180",1990,9,2,0,2
"4180",1990,9,3,0,1
"4180",1990,9,4,0,1
"4180",1990,9,5 - 9,4,7
"4180",1990,9,10 - 14,4,2
"4180",1990,9,15 - 19,8,8
"4180",1990,9,20 - 24,21,25
"4180",1990,9,25 - 29,29,78
"4180",1990,9,30 - 34,51,146
"4180",1990,9,35 - 39,88,247
"4180",1990,9,40 - 44,133,368
"4180",1990,9,45 - 49,200,586
"4180",1990,9,50 - 54,361,1017
"4180",1990,9,55 - 59,584,1485
"4180",1990,9,60 - 64,925,2037
"4180",1990,9,65 - 69,1427,2433
"4180",1990,9,70 - 74,1321,1719
"4180",1990,9,75 - 79,2166,2653
"4180",1990,9,80 - 84,2444,2047
"4180",1990,9,85 - 89,2799,1479
"4180",1990,9,90 - 94,0,0
"4180",1990,9,95+,0,0
"4180",1990,9,UNK,0,0
"4180",1990,10,Total,3204,3833
"4180",1990,10,0,7,15
"4180",1990,10,1,2,0
"4180",1990,10,2,0,0
"4180",1990,10,3,1,0
"4180",1990,10,4,0,0
"4180",1990,10,5 - 9,0,3
"4180",1990,10,10 - 14,1,3
"4180",1990,10,15 - 19,3,5
"4180",1990,10,20 - 24,5,2
"4180",1990,10,25 - 29,4,3
"4180",1990,10,30 - 34,8,14
"4180",1990,10,35 - 39,12,20
"4180",1990,10,40 - 44,18,28
"4180",1990,10,45 - 49,29,35
"4180",1990,10,50 - 54,49,59
"4180",1990,10,55 - 59,86,127
"4180",1990,10,60 - 64,126,221
"4180",1990,10,65 - 69,223,364
"4180",1990,10,70 - 74,287,425
"4180",1990,10,75 - 79,599,739
"4180",1990,10,80 - 84,733,850
"4180",1990,10,85 - 89,1011,920
"4180",1990,10,90 - 94,0,0
"4180",1990,10,95+,0,0
"4180",1990,10,UNK,0,0
"4180",1990,11,Total,2057,2683
"4180",1990,11,0,1693,2258
"4180",1990,11,1,23,39
"4180",1990,11,2,17,17
"4180",1990,11,3,13,10
"4180",1990,11,4,8,5
"4180",1990,11,5 - 9,21,32
"4180",1990,11,10 - 14,16,24
"4180",1990,11,15 - 19,27,38
"4180",1990,11,20 - 24,16,24
"4180",1990,11,25 - 29,20,20
"4180",1990,11,30 - 34,15,20
"4180",1990,11,35 - 39,15,16
"4180",1990,11,40 - 44,16,21
"4180",1990,11,45 - 49,13,16
"4180",1990,11,50 - 54,20,19
"4180",1990,11,55 - 59,13,20
"4180",1990,11,60 - 64,20,14
"4180",1990,11,65 - 69,16,22
"4180",1990,11,70 - 74,16,19
"4180",1990,11,75 - 79,21,24
"4180",1990,11,80 - 84,23,11
"4180",1990,11,85 - 89,15,14
"4180",1990,11,90 - 94,0,0
"4180",1990,11,95+,0,0
"4180",1990,11,UNK,0,0
"4180",1990,12,Total,13927,21693
"4180",1990,12,0,69,101
"4180",1990,12,1,8,11
"4180",1990,12,2,5,10
"4180",1990,12,3,3,4
"4180",1990,12,4,5,1
"4180",1990,12,5 - 9,5,5
"4180",1990,12,10 - 14,12,16
"4180",1990,12,15 - 19,16,32
"4180",1990,12,20 - 24,15,40
"4180",1990,12,25 - 29,31,54
"4180",1990,12,30 - 34,25,55
"4180",1990,12,35 - 39,23,52
"4180",1990,12,40 - 44,42,73
"4180",1990,12,45 - 49,65,133
"4180",1990,12,50 - 54,103,233
"4180",1990,12,55 - 59,181,546
"4180",1990,12,60 - 64,369,1190
"4180",1990,12,65 - 69,679,2129
"4180",1990,12,70 - 74,912,2500
"4180",1990,12,75 - 79,2222,4755
"4180",1990,12,80 - 84,3237,4827
"4180",1990,12,85 - 89,5900,4926
"4180",1990,12,90 - 94,0,0
"4180",1990,12,95+,0,0
"4180",1990,12,UNK,0,0
"4180",1990,13,Total,10710,16950
"4180",1990,13,0,34,45
"4180",1990,13,1,17,14
"4180",1990,13,2,13,16
"4180",1990,13,3,10,20
"4180",1990,13,4,14,22
"4180",1990,13,5 - 9,59,99
"4180",1990,13,10 - 14,78,200
"4180",1990,13,15 - 19,257,1242
"4180",1990,13,20 - 24,321,1529
"4180",1990,13,25 - 29,252,1211
"4180",1990,13,30 - 34,198,917
"4180",1990,13,35 - 39,189,813
"4180",1990,13,40 - 44,243,844
"4180",1990,13,45 - 49,237,781
"4180",1990,13,50 - 54,261,935
"4180",1990,13,55 - 59,388,1042
"4180",1990,13,60 - 64,419,1034
"4180",1990,13,65 - 69,531,1089
"4180",1990,13,70 - 74,573,927
"4180",1990,13,75 - 79,1368,1468
"4180",1990,13,80 - 84,1818,1420
"4180",1990,13,85 - 89,3430,1282
"4180",1990,13,90 - 94,0,0
"4180",1990,13,95+,0,0
"4180",1990,13,UNK,0,0
"4180",1990,14,Total,176,1351
"4180",1990,14,0,1,4
"4180",1990,14,1,0,0
"4180",1990,14,2,3,0
"4180",1990,14,3,0,1
"4180",1990,14,4,0,2
"4180",1990,14,5 - 9,3,9
"4180",1990,14,10 - 14,1,11
"4180",1990,14,15 - 19,11,81
"4180",1990,14,20 - 24,17,147
"4180",1990,14,25 - 29,20,199
"4180",1990,14,30 - 34,22,193
"4180",1990,14,35 - 39,13,182
"4180",1990,14,40 - 44,6,151
"4180",1990,14,45 - 49,10,101
"4180",1990,14,50 - 54,17,79
"4180",1990,14,55 - 59,8,69
"4180",1990,14,60 - 64,10,43
"4180",1990,14,65 - 69,8,34
"4180",1990,14,70 - 74,8,16
"4180",1990,14,75 - 79,7,17
"4180",1990,14,80 - 84,8,5
"4180",1990,14,85 - 89,3,7
"4180",1990,14,90 - 94,0,0
"4180",1990,14,95+,0,0
"4180",1990,14,UNK,0,0
