"","Year","Cause","Age","Female","Male"
"4210",1990,1,Total,62196,66628
"4210",1990,1,0,589,812
"4210",1990,1,1,65,73
"4210",1990,1,2,33,37
"4210",1990,1,3,28,35
"4210",1990,1,4,19,19
"4210",1990,1,5 - 9,59,104
"4210",1990,1,10 - 14,94,103
"4210",1990,1,15 - 19,130,300
"4210",1990,1,20 - 24,190,433
"4210",1990,1,25 - 29,242,516
"4210",1990,1,30 - 34,314,574
"4210",1990,1,35 - 39,445,719
"4210",1990,1,40 - 44,744,1169
"4210",1990,1,45 - 49,919,1515
"4210",1990,1,50 - 54,1215,2147
"4210",1990,1,55 - 59,1885,3616
"4210",1990,1,60 - 64,2833,5212
"4210",1990,1,65 - 69,4352,8117
"4210",1990,1,70 - 74,5834,9639
"4210",1990,1,75 - 79,9086,10991
"4210",1990,1,80 - 84,12033,9875
"4210",1990,1,85 - 89,21087,10622
"4210",1990,1,90 - 94,0,0
"4210",1990,1,95+,0,0
"4210",1990,1,UNK,0,0
"4210",1990,2,Total,445,388
"4210",1990,2,0,7,12
"4210",1990,2,1,4,5
"4210",1990,2,2,1,6
"4210",1990,2,3,1,3
"4210",1990,2,4,3,4
"4210",1990,2,5 - 9,3,1
"4210",1990,2,10 - 14,4,1
"4210",1990,2,15 - 19,3,6
"4210",1990,2,20 - 24,3,0
"4210",1990,2,25 - 29,2,3
"4210",1990,2,30 - 34,2,5
"4210",1990,2,35 - 39,1,6
"4210",1990,2,40 - 44,4,7
"4210",1990,2,45 - 49,6,14
"4210",1990,2,50 - 54,7,10
"4210",1990,2,55 - 59,6,7
"4210",1990,2,60 - 64,13,27
"4210",1990,2,65 - 69,37,39
"4210",1990,2,70 - 74,45,62
"4210",1990,2,75 - 79,66,54
"4210",1990,2,80 - 84,86,51
"4210",1990,2,85 - 89,141,65
"4210",1990,2,90 - 94,0,0
"4210",1990,2,95+,0,0
"4210",1990,2,UNK,0,0
"4210",1990,3,Total,15629,20186
"4210",1990,3,0,5,5
"4210",1990,3,1,4,1
"4210",1990,3,2,4,6
"4210",1990,3,3,4,2
"4210",1990,3,4,4,1
"4210",1990,3,5 - 9,17,18
"4210",1990,3,10 - 14,20,19
"4210",1990,3,15 - 19,22,38
"4210",1990,3,20 - 24,29,40
"4210",1990,3,25 - 29,58,52
"4210",1990,3,30 - 34,109,87
"4210",1990,3,35 - 39,226,136
"4210",1990,3,40 - 44,399,308
"4210",1990,3,45 - 49,511,527
"4210",1990,3,50 - 54,720,820
"4210",1990,3,55 - 59,1061,1456
"4210",1990,3,60 - 64,1435,2073
"4210",1990,3,65 - 69,1872,3119
"4210",1990,3,70 - 74,1931,3464
"4210",1990,3,75 - 79,2257,3402
"4210",1990,3,80 - 84,2279,2524
"4210",1990,3,85 - 89,2662,2088
"4210",1990,3,90 - 94,0,0
"4210",1990,3,95+,0,0
"4210",1990,3,UNK,0,0
"4210",1990,4,Total,25733,25887
"4210",1990,4,0,6,7
"4210",1990,4,1,1,2
"4210",1990,4,2,2,0
"4210",1990,4,3,0,0
"4210",1990,4,4,0,1
"4210",1990,4,5 - 9,2,1
"4210",1990,4,10 - 14,1,7
"4210",1990,4,15 - 19,6,8
"4210",1990,4,20 - 24,8,29
"4210",1990,4,25 - 29,27,39
"4210",1990,4,30 - 34,42,76
"4210",1990,4,35 - 39,51,148
"4210",1990,4,40 - 44,107,317
"4210",1990,4,45 - 49,151,489
"4210",1990,4,50 - 54,205,748
"4210",1990,4,55 - 59,411,1369
"4210",1990,4,60 - 64,768,2053
"4210",1990,4,65 - 69,1442,3295
"4210",1990,4,70 - 74,2444,3983
"4210",1990,4,75 - 79,4222,4645
"4210",1990,4,80 - 84,5940,4232
"4210",1990,4,85 - 89,9897,4438
"4210",1990,4,90 - 94,0,0
"4210",1990,4,95+,0,0
"4210",1990,4,UNK,0,0
"4210",1990,5,Total,2600,2838
"4210",1990,5,0,59,90
"4210",1990,5,1,10,8
"4210",1990,5,2,6,6
"4210",1990,5,3,3,6
"4210",1990,5,4,1,1
"4210",1990,5,5 - 9,5,7
"4210",1990,5,10 - 14,9,11
"4210",1990,5,15 - 19,8,21
"4210",1990,5,20 - 24,26,57
"4210",1990,5,25 - 29,24,86
"4210",1990,5,30 - 34,23,52
"4210",1990,5,35 - 39,25,69
"4210",1990,5,40 - 44,46,90
"4210",1990,5,45 - 49,54,132
"4210",1990,5,50 - 54,50,156
"4210",1990,5,55 - 59,62,183
"4210",1990,5,60 - 64,92,244
"4210",1990,5,65 - 69,160,316
"4210",1990,5,70 - 74,173,307
"4210",1990,5,75 - 79,271,275
"4210",1990,5,80 - 84,358,253
"4210",1990,5,85 - 89,1135,468
"4210",1990,5,90 - 94,0,0
"4210",1990,5,95+,0,0
"4210",1990,5,UNK,0,0
"4210",1990,6,Total,760,349
"4210",1990,6,0,0,0
"4210",1990,6,1,1,1
"4210",1990,6,2,0,0
"4210",1990,6,3,0,0
"4210",1990,6,4,0,0
"4210",1990,6,5 - 9,0,0
"4210",1990,6,10 - 14,0,0
"4210",1990,6,15 - 19,1,1
"4210",1990,6,20 - 24,2,2
"4210",1990,6,25 - 29,4,2
"4210",1990,6,30 - 34,3,4
"4210",1990,6,35 - 39,4,19
"4210",1990,6,40 - 44,7,13
"4210",1990,6,45 - 49,6,8
"4210",1990,6,50 - 54,5,14
"4210",1990,6,55 - 59,6,19
"4210",1990,6,60 - 64,6,16
"4210",1990,6,65 - 69,13,24
"4210",1990,6,70 - 74,22,27
"4210",1990,6,75 - 79,68,41
"4210",1990,6,80 - 84,149,66
"4210",1990,6,85 - 89,463,92
"4210",1990,6,90 - 94,0,0
"4210",1990,6,95+,0,0
"4210",1990,6,UNK,0,0
"4210",1990,7,Total,1308,1345
"4210",1990,7,0,25,25
"4210",1990,7,1,10,10
"4210",1990,7,2,4,3
"4210",1990,7,3,3,6
"4210",1990,7,4,3,2
"4210",1990,7,5 - 9,5,16
"4210",1990,7,10 - 14,3,6
"4210",1990,7,15 - 19,6,31
"4210",1990,7,20 - 24,9,15
"4210",1990,7,25 - 29,9,20
"4210",1990,7,30 - 34,12,16
"4210",1990,7,35 - 39,11,24
"4210",1990,7,40 - 44,17,29
"4210",1990,7,45 - 49,27,21
"4210",1990,7,50 - 54,18,31
"4210",1990,7,55 - 59,44,55
"4210",1990,7,60 - 64,48,64
"4210",1990,7,65 - 69,91,118
"4210",1990,7,70 - 74,136,181
"4210",1990,7,75 - 79,237,259
"4210",1990,7,80 - 84,251,225
"4210",1990,7,85 - 89,339,188
"4210",1990,7,90 - 94,0,0
"4210",1990,7,95+,0,0
"4210",1990,7,UNK,0,0
"4210",1990,8,Total,2965,1871
"4210",1990,8,0,13,13
"4210",1990,8,1,4,5
"4210",1990,8,2,4,2
"4210",1990,8,3,1,0
"4210",1990,8,4,2,1
"4210",1990,8,5 - 9,2,6
"4210",1990,8,10 - 14,4,5
"4210",1990,8,15 - 19,6,6
"4210",1990,8,20 - 24,3,10
"4210",1990,8,25 - 29,11,30
"4210",1990,8,30 - 34,11,57
"4210",1990,8,35 - 39,6,66
"4210",1990,8,40 - 44,13,74
"4210",1990,8,45 - 49,20,63
"4210",1990,8,50 - 54,29,79
"4210",1990,8,55 - 59,62,127
"4210",1990,8,60 - 64,124,137
"4210",1990,8,65 - 69,217,195
"4210",1990,8,70 - 74,287,188
"4210",1990,8,75 - 79,442,252
"4210",1990,8,80 - 84,669,254
"4210",1990,8,85 - 89,1035,301
"4210",1990,8,90 - 94,0,0
"4210",1990,8,95+,0,0
"4210",1990,8,UNK,0,0
"4210",1990,9,Total,2590,2033
"4210",1990,9,0,3,7
"4210",1990,9,1,2,3
"4210",1990,9,2,0,0
"4210",1990,9,3,0,2
"4210",1990,9,4,1,0
"4210",1990,9,5 - 9,2,1
"4210",1990,9,10 - 14,1,1
"4210",1990,9,15 - 19,2,2
"4210",1990,9,20 - 24,2,3
"4210",1990,9,25 - 29,2,8
"4210",1990,9,30 - 34,8,18
"4210",1990,9,35 - 39,17,38
"4210",1990,9,40 - 44,35,60
"4210",1990,9,45 - 49,40,62
"4210",1990,9,50 - 54,43,76
"4210",1990,9,55 - 59,68,110
"4210",1990,9,60 - 64,85,161
"4210",1990,9,65 - 69,118,187
"4210",1990,9,70 - 74,189,229
"4210",1990,9,75 - 79,366,311
"4210",1990,9,80 - 84,532,332
"4210",1990,9,85 - 89,1074,422
"4210",1990,9,90 - 94,0,0
"4210",1990,9,95+,0,0
"4210",1990,9,UNK,0,0
"4210",1990,10,Total,1461,1069
"4210",1990,10,0,0,0
"4210",1990,10,1,0,0
"4210",1990,10,2,0,0
"4210",1990,10,3,1,1
"4210",1990,10,4,0,0
"4210",1990,10,5 - 9,0,1
"4210",1990,10,10 - 14,0,0
"4210",1990,10,15 - 19,1,0
"4210",1990,10,20 - 24,2,0
"4210",1990,10,25 - 29,2,0
"4210",1990,10,30 - 34,2,2
"4210",1990,10,35 - 39,5,4
"4210",1990,10,40 - 44,4,9
"4210",1990,10,45 - 49,8,3
"4210",1990,10,50 - 54,6,10
"4210",1990,10,55 - 59,9,16
"4210",1990,10,60 - 64,12,24
"4210",1990,10,65 - 69,58,46
"4210",1990,10,70 - 74,81,97
"4210",1990,10,75 - 79,184,161
"4210",1990,10,80 - 84,309,251
"4210",1990,10,85 - 89,777,444
"4210",1990,10,90 - 94,0,0
"4210",1990,10,95+,0,0
"4210",1990,10,UNK,0,0
"4210",1990,11,Total,588,759
"4210",1990,11,0,453,619
"4210",1990,11,1,11,10
"4210",1990,11,2,2,1
"4210",1990,11,3,3,4
"4210",1990,11,4,3,4
"4210",1990,11,5 - 9,5,3
"4210",1990,11,10 - 14,9,6
"4210",1990,11,15 - 19,7,16
"4210",1990,11,20 - 24,9,10
"4210",1990,11,25 - 29,13,12
"4210",1990,11,30 - 34,2,8
"4210",1990,11,35 - 39,6,6
"4210",1990,11,40 - 44,8,6
"4210",1990,11,45 - 49,5,9
"4210",1990,11,50 - 54,5,8
"4210",1990,11,55 - 59,8,12
"4210",1990,11,60 - 64,12,9
"4210",1990,11,65 - 69,8,9
"4210",1990,11,70 - 74,5,4
"4210",1990,11,75 - 79,6,1
"4210",1990,11,80 - 84,5,2
"4210",1990,11,85 - 89,3,0
"4210",1990,11,90 - 94,0,0
"4210",1990,11,95+,0,0
"4210",1990,11,UNK,0,0
"4210",1990,12,Total,4437,6234
"4210",1990,12,0,4,14
"4210",1990,12,1,2,5
"4210",1990,12,2,0,2
"4210",1990,12,3,2,1
"4210",1990,12,4,0,0
"4210",1990,12,5 - 9,1,2
"4210",1990,12,10 - 14,1,2
"4210",1990,12,15 - 19,3,3
"4210",1990,12,20 - 24,2,3
"4210",1990,12,25 - 29,5,4
"4210",1990,12,30 - 34,0,7
"4210",1990,12,35 - 39,10,10
"4210",1990,12,40 - 44,8,20
"4210",1990,12,45 - 49,21,20
"4210",1990,12,50 - 54,36,45
"4210",1990,12,55 - 59,57,113
"4210",1990,12,60 - 64,116,234
"4210",1990,12,65 - 69,179,587
"4210",1990,12,70 - 74,322,874
"4210",1990,12,75 - 79,602,1283
"4210",1990,12,80 - 84,892,1361
"4210",1990,12,85 - 89,2174,1644
"4210",1990,12,90 - 94,0,0
"4210",1990,12,95+,0,0
"4210",1990,12,UNK,0,0
"4210",1990,13,Total,2191,2980
"4210",1990,13,0,9,16
"4210",1990,13,1,14,21
"4210",1990,13,2,7,10
"4210",1990,13,3,9,10
"4210",1990,13,4,2,5
"4210",1990,13,5 - 9,15,44
"4210",1990,13,10 - 14,35,41
"4210",1990,13,15 - 19,58,164
"4210",1990,13,20 - 24,78,251
"4210",1990,13,25 - 29,72,242
"4210",1990,13,30 - 34,84,223
"4210",1990,13,35 - 39,67,178
"4210",1990,13,40 - 44,91,224
"4210",1990,13,45 - 49,61,158
"4210",1990,13,50 - 54,81,139
"4210",1990,13,55 - 59,68,132
"4210",1990,13,60 - 64,86,135
"4210",1990,13,65 - 69,92,136
"4210",1990,13,70 - 74,103,136
"4210",1990,13,75 - 79,164,197
"4210",1990,13,80 - 84,267,200
"4210",1990,13,85 - 89,728,318
"4210",1990,13,90 - 94,0,0
"4210",1990,13,95+,0,0
"4210",1990,13,UNK,0,0
"4210",1990,14,Total,43,92
"4210",1990,14,0,1,3
"4210",1990,14,1,1,1
"4210",1990,14,2,2,1
"4210",1990,14,3,1,0
"4210",1990,14,4,0,0
"4210",1990,14,5 - 9,0,0
"4210",1990,14,10 - 14,1,2
"4210",1990,14,15 - 19,5,3
"4210",1990,14,20 - 24,10,12
"4210",1990,14,25 - 29,4,16
"4210",1990,14,30 - 34,2,15
"4210",1990,14,35 - 39,6,12
"4210",1990,14,40 - 44,2,7
"4210",1990,14,45 - 49,1,4
"4210",1990,14,50 - 54,2,6
"4210",1990,14,55 - 59,1,5
"4210",1990,14,60 - 64,0,4
"4210",1990,14,65 - 69,0,0
"4210",1990,14,70 - 74,2,1
"4210",1990,14,75 - 79,2,0
"4210",1990,14,80 - 84,0,0
"4210",1990,14,85 - 89,0,0
"4210",1990,14,90 - 94,0,0
"4210",1990,14,95+,0,0
"4210",1990,14,UNK,0,0
"4210",1991,1,Total,63279,66679
"4210",1991,1,0,509,782
"4210",1991,1,1,124,181
"4210",1991,1,2,0,0
"4210",1991,1,3,0,0
"4210",1991,1,4,0,0
"4210",1991,1,5 - 9,70,78
"4210",1991,1,10 - 14,79,84
"4210",1991,1,15 - 19,148,277
"4210",1991,1,20 - 24,179,449
"4210",1991,1,25 - 29,225,488
"4210",1991,1,30 - 34,353,591
"4210",1991,1,35 - 39,479,763
"4210",1991,1,40 - 44,789,1160
"4210",1991,1,45 - 49,977,1478
"4210",1991,1,50 - 54,1262,2259
"4210",1991,1,55 - 59,1851,3354
"4210",1991,1,60 - 64,2893,5458
"4210",1991,1,65 - 69,4446,7772
"4210",1991,1,70 - 74,6118,9657
"4210",1991,1,75 - 79,9093,11091
"4210",1991,1,80 - 84,12052,9917
"4210",1991,1,85 - 89,21632,10840
"4210",1991,1,90 - 94,0,0
"4210",1991,1,95+,0,0
"4210",1991,1,UNK,0,0
"4210",1991,2,Total,491,415
"4210",1991,2,0,8,15
"4210",1991,2,1,14,14
"4210",1991,2,2,0,0
"4210",1991,2,3,0,0
"4210",1991,2,4,0,0
"4210",1991,2,5 - 9,2,0
"4210",1991,2,10 - 14,6,4
"4210",1991,2,15 - 19,9,4
"4210",1991,2,20 - 24,5,7
"4210",1991,2,25 - 29,4,5
"4210",1991,2,30 - 34,3,2
"4210",1991,2,35 - 39,3,4
"4210",1991,2,40 - 44,9,9
"4210",1991,2,45 - 49,4,9
"4210",1991,2,50 - 54,7,15
"4210",1991,2,55 - 59,7,12
"4210",1991,2,60 - 64,17,27
"4210",1991,2,65 - 69,37,34
"4210",1991,2,70 - 74,51,59
"4210",1991,2,75 - 79,65,63
"4210",1991,2,80 - 84,100,66
"4210",1991,2,85 - 89,140,66
"4210",1991,2,90 - 94,0,0
"4210",1991,2,95+,0,0
"4210",1991,2,UNK,0,0
"4210",1991,3,Total,15958,20509
"4210",1991,3,0,5,6
"4210",1991,3,1,13,19
"4210",1991,3,2,0,0
"4210",1991,3,3,0,0
"4210",1991,3,4,0,0
"4210",1991,3,5 - 9,15,12
"4210",1991,3,10 - 14,22,19
"4210",1991,3,15 - 19,23,30
"4210",1991,3,20 - 24,30,42
"4210",1991,3,25 - 29,63,73
"4210",1991,3,30 - 34,132,91
"4210",1991,3,35 - 39,213,144
"4210",1991,3,40 - 44,413,313
"4210",1991,3,45 - 49,582,485
"4210",1991,3,50 - 54,738,848
"4210",1991,3,55 - 59,1009,1406
"4210",1991,3,60 - 64,1413,2237
"4210",1991,3,65 - 69,1901,3067
"4210",1991,3,70 - 74,2070,3418
"4210",1991,3,75 - 79,2279,3514
"4210",1991,3,80 - 84,2315,2652
"4210",1991,3,85 - 89,2722,2133
"4210",1991,3,90 - 94,0,0
"4210",1991,3,95+,0,0
"4210",1991,3,UNK,0,0
"4210",1991,4,Total,26124,25755
"4210",1991,4,0,6,2
"4210",1991,4,1,1,5
"4210",1991,4,2,0,0
"4210",1991,4,3,0,0
"4210",1991,4,4,0,0
"4210",1991,4,5 - 9,1,2
"4210",1991,4,10 - 14,1,0
"4210",1991,4,15 - 19,7,9
"4210",1991,4,20 - 24,11,23
"4210",1991,4,25 - 29,20,32
"4210",1991,4,30 - 34,32,70
"4210",1991,4,35 - 39,61,145
"4210",1991,4,40 - 44,113,318
"4210",1991,4,45 - 49,161,506
"4210",1991,4,50 - 54,236,747
"4210",1991,4,55 - 59,417,1199
"4210",1991,4,60 - 64,821,2172
"4210",1991,4,65 - 69,1496,3123
"4210",1991,4,70 - 74,2505,3999
"4210",1991,4,75 - 79,4238,4644
"4210",1991,4,80 - 84,5823,4211
"4210",1991,4,85 - 89,10174,4548
"4210",1991,4,90 - 94,0,0
"4210",1991,4,95+,0,0
"4210",1991,4,UNK,0,0
"4210",1991,5,Total,2580,2725
"4210",1991,5,0,51,68
"4210",1991,5,1,10,18
"4210",1991,5,2,0,0
"4210",1991,5,3,0,0
