"","Year","Cause","Age","Female","Male"
"4070",1996,1,Total,24895,24266
"4070",1996,1,0,102,136
"4070",1996,1,1,4,8
"4070",1996,1,2,14,6
"4070",1996,1,3,5,5
"4070",1996,1,4,6,3
"4070",1996,1,5 - 9,23,28
"4070",1996,1,10 - 14,21,44
"4070",1996,1,15 - 19,41,102
"4070",1996,1,20 - 24,47,183
"4070",1996,1,25 - 29,48,236
"4070",1996,1,30 - 34,100,302
"4070",1996,1,35 - 39,158,454
"4070",1996,1,40 - 44,283,718
"4070",1996,1,45 - 49,420,1122
"4070",1996,1,50 - 54,441,1106
"4070",1996,1,55 - 59,589,1485
"4070",1996,1,60 - 64,801,1868
"4070",1996,1,65 - 69,1509,2958
"4070",1996,1,70 - 74,2536,3439
"4070",1996,1,75 - 79,3659,3377
"4070",1996,1,80 - 84,5220,3259
"4070",1996,1,85 - 89,5228,2297
"4070",1996,1,90 - 94,2794,917
"4070",1996,1,95+,846,213
"4070",1996,1,UNK,0,0
"4070",1996,2,Total,220,218
"4070",1996,2,0,1,4
"4070",1996,2,1,0,0
"4070",1996,2,2,0,0
"4070",1996,2,3,0,0
"4070",1996,2,4,0,0
"4070",1996,2,5 - 9,0,0
"4070",1996,2,10 - 14,0,2
"4070",1996,2,15 - 19,3,1
"4070",1996,2,20 - 24,1,0
"4070",1996,2,25 - 29,1,1
"4070",1996,2,30 - 34,3,13
"4070",1996,2,35 - 39,4,5
"4070",1996,2,40 - 44,3,9
"4070",1996,2,45 - 49,2,14
"4070",1996,2,50 - 54,4,7
"4070",1996,2,55 - 59,4,14
"4070",1996,2,60 - 64,4,14
"4070",1996,2,65 - 69,14,27
"4070",1996,2,70 - 74,24,24
"4070",1996,2,75 - 79,30,24
"4070",1996,2,80 - 84,45,26
"4070",1996,2,85 - 89,36,19
"4070",1996,2,90 - 94,30,10
"4070",1996,2,95+,11,4
"4070",1996,2,UNK,0,0
"4070",1996,3,Total,4849,5460
"4070",1996,3,0,0,1
"4070",1996,3,1,0,2
"4070",1996,3,2,2,3
"4070",1996,3,3,1,1
"4070",1996,3,4,2,0
"4070",1996,3,5 - 9,7,2
"4070",1996,3,10 - 14,5,7
"4070",1996,3,15 - 19,4,5
"4070",1996,3,20 - 24,6,10
"4070",1996,3,25 - 29,4,14
"4070",1996,3,30 - 34,21,28
