Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
2010-2013     65-69     0.01688  0.08105  2.57   84014    6810  403500  1521670  18.11
2010-2013     70-74     0.02565  0.12096  2.65   77204    9339  364087  1118170  14.48
2010-2013     75-79     0.04387  0.19868  2.63   67865   13484  307368   754083  11.11
2010-2013     80-84     0.07768  0.32715  2.59   54382   17791  229040   446716   8.21
2010-2013     85-89     0.12890  0.48206  2.39   36591   17639  136843   217675   5.95
2010-2013     90-94     0.20335  0.65410  2.27   18952   12396   60961    80832   4.27
2010-2013     95-99     0.31028  0.80680  2.03    6555    5289   17046    19871   3.03
2010-2013    100-104    0.43795  0.90497  1.76    1266    1146    2617     2825   2.23
2010-2013    105-109    0.57496  0.95582  1.51     120     115     200      208   1.73
2010-2013    110+       0.68414  1.00000  1.46       5       5       8        8   1.46
