"","Year","Cause","Age","Female","Male"
"4210",1996,1,Total,68553,69008
"4210",1996,1,0,472,615
"4210",1996,1,1,110,136
"4210",1996,1,2,0,0
"4210",1996,1,3,0,0
"4210",1996,1,4,0,0
"4210",1996,1,5 - 9,57,79
"4210",1996,1,10 - 14,61,83
"4210",1996,1,15 - 19,105,244
"4210",1996,1,20 - 24,154,362
"4210",1996,1,25 - 29,237,495
"4210",1996,1,30 - 34,322,568
"4210",1996,1,35 - 39,504,732
"4210",1996,1,40 - 44,831,1083
"4210",1996,1,45 - 49,1189,1922
"4210",1996,1,50 - 54,1534,2395
"4210",1996,1,55 - 59,1874,3259
"4210",1996,1,60 - 64,2710,5168
"4210",1996,1,65 - 69,4424,7552
"4210",1996,1,70 - 74,6655,10422
"4210",1996,1,75 - 79,9161,11554
"4210",1996,1,80 - 84,12771,10791
"4210",1996,1,85 - 89,13433,7371
"4210",1996,1,90 - 94,8754,3303
"4210",1996,1,95+,3195,874
"4210",1996,1,UNK,0,0
"4210",1996,2,Total,711,890
"4210",1996,2,0,12,15
"4210",1996,2,1,12,17
"4210",1996,2,2,0,0
"4210",1996,2,3,0,0
"4210",1996,2,4,0,0
"4210",1996,2,5 - 9,6,1
"4210",1996,2,10 - 14,4,0
"4210",1996,2,15 - 19,5,5
"4210",1996,2,20 - 24,4,6
"4210",1996,2,25 - 29,8,10
"4210",1996,2,30 - 34,10,44
"4210",1996,2,35 - 39,12,73
"4210",1996,2,40 - 44,11,60
"4210",1996,2,45 - 49,10,72
"4210",1996,2,50 - 54,7,47
"4210",1996,2,55 - 59,13,53
"4210",1996,2,60 - 64,20,46
"4210",1996,2,65 - 69,37,55
"4210",1996,2,70 - 74,69,88
"4210",1996,2,75 - 79,103,98
"4210",1996,2,80 - 84,141,97
"4210",1996,2,85 - 89,124,68
"4210",1996,2,90 - 94,82,29
"4210",1996,2,95+,21,6
"4210",1996,2,UNK,0,0
"4210",1996,3,Total,17027,21244
"4210",1996,3,0,5,6
"4210",1996,3,1,19,22
"4210",1996,3,2,0,0
"4210",1996,3,3,0,0
"4210",1996,3,4,0,0
"4210",1996,3,5 - 9,16,23
"4210",1996,3,10 - 14,10,17
"4210",1996,3,15 - 19,21,31
"4210",1996,3,20 - 24,27,45
"4210",1996,3,25 - 29,48,54
"4210",1996,3,30 - 34,110,90
"4210",1996,3,35 - 39,234,133
"4210",1996,3,40 - 44,386,272
"4210",1996,3,45 - 49,653,631
"4210",1996,3,50 - 54,917,903
"4210",1996,3,55 - 59,1075,1341
"4210",1996,3,60 - 64,1379,2199
"4210",1996,3,65 - 69,1955,3064
"4210",1996,3,70 - 74,2247,3750
"4210",1996,3,75 - 79,2438,3606
"4210",1996,3,80 - 84,2502,2834
"4210",1996,3,85 - 89,1822,1565
"4210",1996,3,90 - 94,929,553
"4210",1996,3,95+,234,105
"4210",1996,3,UNK,0,0
"4210",1996,4,Total,26104,25205
"4210",1996,4,0,8,7
"4210",1996,4,1,5,5
"4210",1996,4,2,0,0
"4210",1996,4,3,0,0
"4210",1996,4,4,0,0
"4210",1996,4,5 - 9,6,3
"4210",1996,4,10 - 14,5,6
"4210",1996,4,15 - 19,5,14
"4210",1996,4,20 - 24,13,23
"4210",1996,4,25 - 29,25,39
