"","Year","Cause","Age","Female","Male"
"2260",1990,1,Total,2031,2847
"2260",1990,1,0,235,296
"2260",1990,1,1,36,39
"2260",1990,1,2,6,20
"2260",1990,1,3,10,12
"2260",1990,1,4,4,4
"2260",1990,1,5 - 9,29,29
"2260",1990,1,10 - 14,25,32
"2260",1990,1,15 - 19,36,57
"2260",1990,1,20 - 24,50,113
"2260",1990,1,25 - 29,48,122
"2260",1990,1,30 - 34,60,122
"2260",1990,1,35 - 39,53,106
"2260",1990,1,40 - 44,47,103
"2260",1990,1,45 - 49,84,159
"2260",1990,1,50 - 54,103,148
"2260",1990,1,55 - 59,110,178
"2260",1990,1,60 - 64,164,241
"2260",1990,1,65 - 69,183,235
"2260",1990,1,70 - 74,163,253
"2260",1990,1,75 - 79,208,257
"2260",1990,1,80 - 84,151,153
"2260",1990,1,85 - 89,166,103
"2260",1990,1,90 - 94,0,0
"2260",1990,1,95+,0,0
"2260",1990,1,UNK,60,65
"2260",1990,2,Total,95,168
"2260",1990,2,0,49,76
"2260",1990,2,1,11,14
"2260",1990,2,2,3,4
"2260",1990,2,3,1,0
"2260",1990,2,4,0,1
"2260",1990,2,5 - 9,0,1
"2260",1990,2,10 - 14,1,2
"2260",1990,2,15 - 19,3,3
"2260",1990,2,20 - 24,0,4
"2260",1990,2,25 - 29,4,6
"2260",1990,2,30 - 34,0,5
"2260",1990,2,35 - 39,1,8
"2260",1990,2,40 - 44,1,1
"2260",1990,2,45 - 49,3,6
"2260",1990,2,50 - 54,0,3
"2260",1990,2,55 - 59,2,5
"2260",1990,2,60 - 64,5,5
"2260",1990,2,65 - 69,3,8
"2260",1990,2,70 - 74,3,5
"2260",1990,2,75 - 79,3,4
"2260",1990,2,80 - 84,1,3
"2260",1990,2,85 - 89,1,0
"2260",1990,2,90 - 94,0,0
"2260",1990,2,95+,0,0
"2260",1990,2,UNK,0,4
"2260",1990,3,Total,179,189
"2260",1990,3,0,0,1
"2260",1990,3,1,0,0
"2260",1990,3,2,0,0
"2260",1990,3,3,0,1
"2260",1990,3,4,0,1
"2260",1990,3,5 - 9,0,1
"2260",1990,3,10 - 14,1,1
"2260",1990,3,15 - 19,1,2
"2260",1990,3,20 - 24,4,2
"2260",1990,3,25 - 29,2,2
"2260",1990,3,30 - 34,8,5
"2260",1990,3,35 - 39,11,4
"2260",1990,3,40 - 44,14,6
"2260",1990,3,45 - 49,19,8
"2260",1990,3,50 - 54,15,11
"2260",1990,3,55 - 59,24,23
"2260",1990,3,60 - 64,19,16
"2260",1990,3,65 - 69,19,18
"2260",1990,3,70 - 74,12,34
"2260",1990,3,75 - 79,19,25
"2260",1990,3,80 - 84,5,16
"2260",1990,3,85 - 89,5,9
"2260",1990,3,90 - 94,0,0
"2260",1990,3,95+,0,0
"2260",1990,3,UNK,1,3
"2260",1990,4,Total,870,1084
"2260",1990,4,0,1,7
"2260",1990,4,1,2,2
"2260",1990,4,2,0,2
"2260",1990,4,3,3,0
"2260",1990,4,4,0,0
"2260",1990,4,5 - 9,5,0
"2260",1990,4,10 - 14,2,2
"2260",1990,4,15 - 19,4,2
"2260",1990,4,20 - 24,4,13
"2260",1990,4,25 - 29,7,5
"2260",1990,4,30 - 34,8,17
"2260",1990,4,35 - 39,10,21
"2260",1990,4,40 - 44,14,41
"2260",1990,4,45 - 49,33,67
"2260",1990,4,50 - 54,55,78
"2260",1990,4,55 - 59,56,85
"2260",1990,4,60 - 64,102,154
"2260",1990,4,65 - 69,119,149
"2260",1990,4,70 - 74,105,141
"2260",1990,4,75 - 79,121,134
"2260",1990,4,80 - 84,99,83
"2260",1990,4,85 - 89,95,55
"2260",1990,4,90 - 94,0,0
"2260",1990,4,95+,0,0
"2260",1990,4,UNK,25,26
"2260",1990,5,Total,70,53
"2260",1990,5,0,3,3
"2260",1990,5,1,1,1
"2260",1990,5,2,0,1
"2260",1990,5,3,0,0
"2260",1990,5,4,1,0
"2260",1990,5,5 - 9,0,0
"2260",1990,5,10 - 14,0,0
"2260",1990,5,15 - 19,1,0
"2260",1990,5,20 - 24,0,2
"2260",1990,5,25 - 29,1,0
"2260",1990,5,30 - 34,1,0
"2260",1990,5,35 - 39,0,0
"2260",1990,5,40 - 44,0,0
"2260",1990,5,45 - 49,0,1
"2260",1990,5,50 - 54,0,2
"2260",1990,5,55 - 59,0,0
"2260",1990,5,60 - 64,2,2
"2260",1990,5,65 - 69,1,2
"2260",1990,5,70 - 74,2,7
"2260",1990,5,75 - 79,11,5
"2260",1990,5,80 - 84,10,7
"2260",1990,5,85 - 89,22,9
"2260",1990,5,90 - 94,0,0
"2260",1990,5,95+,0,0
"2260",1990,5,UNK,14,11
"2260",1990,6,Total,3,8
"2260",1990,6,0,0,0
"2260",1990,6,1,0,0
"2260",1990,6,2,0,0
"2260",1990,6,3,0,0
"2260",1990,6,4,0,0
"2260",1990,6,5 - 9,1,0
"2260",1990,6,10 - 14,0,0
"2260",1990,6,15 - 19,0,1
"2260",1990,6,20 - 24,0,0
"2260",1990,6,25 - 29,0,0
"2260",1990,6,30 - 34,0,0
"2260",1990,6,35 - 39,0,0
"2260",1990,6,40 - 44,0,2
"2260",1990,6,45 - 49,0,1
"2260",1990,6,50 - 54,1,0
"2260",1990,6,55 - 59,0,3
"2260",1990,6,60 - 64,0,0
"2260",1990,6,65 - 69,1,0
"2260",1990,6,70 - 74,0,0
"2260",1990,6,75 - 79,0,0
"2260",1990,6,80 - 84,0,0
"2260",1990,6,85 - 89,0,0
"2260",1990,6,90 - 94,0,0
"2260",1990,6,95+,0,0
"2260",1990,6,UNK,0,1
"2260",1990,7,Total,30,68
"2260",1990,7,0,3,2
"2260",1990,7,1,2,1
"2260",1990,7,2,0,1
"2260",1990,7,3,2,2
"2260",1990,7,4,0,1
"2260",1990,7,5 - 9,1,3
"2260",1990,7,10 - 14,2,3
"2260",1990,7,15 - 19,1,7
"2260",1990,7,20 - 24,5,2
"2260",1990,7,25 - 29,2,4
"2260",1990,7,30 - 34,2,4
"2260",1990,7,35 - 39,0,5
"2260",1990,7,40 - 44,0,3
"2260",1990,7,45 - 49,1,5
"2260",1990,7,50 - 54,0,6
"2260",1990,7,55 - 59,1,3
"2260",1990,7,60 - 64,0,1
"2260",1990,7,65 - 69,1,2
"2260",1990,7,70 - 74,3,1
"2260",1990,7,75 - 79,0,7
"2260",1990,7,80 - 84,0,3
"2260",1990,7,85 - 89,0,1
"2260",1990,7,90 - 94,0,0
"2260",1990,7,95+,0,0
"2260",1990,7,UNK,4,1
"2260",1990,8,Total,206,202
"2260",1990,8,0,45,34
"2260",1990,8,1,10,9
"2260",1990,8,2,1,2
"2260",1990,8,3,1,1
"2260",1990,8,4,1,0
"2260",1990,8,5 - 9,1,0
"2260",1990,8,10 - 14,0,0
"2260",1990,8,15 - 19,2,0
"2260",1990,8,20 - 24,7,11
"2260",1990,8,25 - 29,8,10
"2260",1990,8,30 - 34,6,13
"2260",1990,8,35 - 39,6,7
"2260",1990,8,40 - 44,6,6
"2260",1990,8,45 - 49,5,7
"2260",1990,8,50 - 54,16,10
"2260",1990,8,55 - 59,11,11
"2260",1990,8,60 - 64,16,17
"2260",1990,8,65 - 69,18,12
"2260",1990,8,70 - 74,14,18
"2260",1990,8,75 - 79,14,18
"2260",1990,8,80 - 84,7,6
"2260",1990,8,85 - 89,8,6
"2260",1990,8,90 - 94,0,0
"2260",1990,8,95+,0,0
"2260",1990,8,UNK,3,4
"2260",1990,9,Total,104,213
"2260",1990,9,0,3,2
"2260",1990,9,1,0,0
"2260",1990,9,2,0,0
"2260",1990,9,3,0,0
"2260",1990,9,4,1,0
"2260",1990,9,5 - 9,1,0
"2260",1990,9,10 - 14,3,1
"2260",1990,9,15 - 19,3,3
"2260",1990,9,20 - 24,2,6
"2260",1990,9,25 - 29,4,10
"2260",1990,9,30 - 34,6,25
"2260",1990,9,35 - 39,3,12
"2260",1990,9,40 - 44,0,19
"2260",1990,9,45 - 49,9,29
"2260",1990,9,50 - 54,7,10
"2260",1990,9,55 - 59,5,18
"2260",1990,9,60 - 64,6,15
"2260",1990,9,65 - 69,7,14
"2260",1990,9,70 - 74,6,11
"2260",1990,9,75 - 79,11,16
"2260",1990,9,80 - 84,11,15
"2260",1990,9,85 - 89,11,4
"2260",1990,9,90 - 94,0,0
"2260",1990,9,95+,0,0
"2260",1990,9,UNK,5,3
"2260",1990,10,Total,41,38
"2260",1990,10,0,0,1
"2260",1990,10,1,0,0
"2260",1990,10,2,0,0
"2260",1990,10,3,0,1
"2260",1990,10,4,0,0
"2260",1990,10,5 - 9,1,0
"2260",1990,10,10 - 14,1,1
"2260",1990,10,15 - 19,1,1
"2260",1990,10,20 - 24,2,2
"2260",1990,10,25 - 29,1,1
"2260",1990,10,30 - 34,2,3
"2260",1990,10,35 - 39,5,0
"2260",1990,10,40 - 44,3,0
"2260",1990,10,45 - 49,3,3
"2260",1990,10,50 - 54,3,0
"2260",1990,10,55 - 59,2,3
"2260",1990,10,60 - 64,2,3
"2260",1990,10,65 - 69,0,1
"2260",1990,10,70 - 74,3,5
"2260",1990,10,75 - 79,6,6
"2260",1990,10,80 - 84,2,2
"2260",1990,10,85 - 89,4,5
"2260",1990,10,90 - 94,0,0
"2260",1990,10,95+,0,0
"2260",1990,10,UNK,0,0
