"","Year","Cause","Age","Female","Male"
"2130",1997,1,Total,67942,102590
"2130",1997,1,0,4740,6352
"2130",1997,1,1,714,812
"2130",1997,1,2,298,411
"2130",1997,1,3,221,261
"2130",1997,1,4,164,239
"2130",1997,1,5 - 9,580,848
"2130",1997,1,10 - 14,577,1062
"2130",1997,1,15 - 19,1216,4883
"2130",1997,1,20 - 24,1236,6834
"2130",1997,1,25 - 29,1232,6513
"2130",1997,1,30 - 34,1493,5643
"2130",1997,1,35 - 39,1791,5162
"2130",1997,1,40 - 44,1975,4366
"2130",1997,1,45 - 49,2279,4147
"2130",1997,1,50 - 54,2780,4153
"2130",1997,1,55 - 59,3523,4837
"2130",1997,1,60 - 64,4749,5993
"2130",1997,1,65 - 69,6231,7462
"2130",1997,1,70 - 74,6828,8003
"2130",1997,1,75 - 79,7492,8155
"2130",1997,1,80 - 84,7004,6892
"2130",1997,1,85 - 89,5523,4439
"2130",1997,1,90 - 94,2797,1996
"2130",1997,1,95+,1358,850
"2130",1997,1,UNK,1141,2277
"2130",1997,2,Total,2802,4507
"2130",1997,2,0,478,610
"2130",1997,2,1,160,183
"2130",1997,2,2,53,57
"2130",1997,2,3,35,31
"2130",1997,2,4,24,21
"2130",1997,2,5 - 9,66,70
"2130",1997,2,10 - 14,37,52
"2130",1997,2,15 - 19,65,80
"2130",1997,2,20 - 24,64,168
"2130",1997,2,25 - 29,96,282
"2130",1997,2,30 - 34,110,437
"2130",1997,2,35 - 39,123,366
"2130",1997,2,40 - 44,95,294
"2130",1997,2,45 - 49,86,213
"2130",1997,2,50 - 54,96,191
"2130",1997,2,55 - 59,96,155
"2130",1997,2,60 - 64,121,185
"2130",1997,2,65 - 69,132,198
"2130",1997,2,70 - 74,170,196
"2130",1997,2,75 - 79,202,216
"2130",1997,2,80 - 84,170,188
"2130",1997,2,85 - 89,140,122
"2130",1997,2,90 - 94,83,60
"2130",1997,2,95+,48,24
"2130",1997,2,UNK,52,108
"2130",1997,3,Total,12779,12357
"2130",1997,3,0,16,30
"2130",1997,3,1,18,15
"2130",1997,3,2,19,20
"2130",1997,3,3,18,25
"2130",1997,3,4,25,37
"2130",1997,3,5 - 9,81,130
"2130",1997,3,10 - 14,82,108
"2130",1997,3,15 - 19,131,158
"2130",1997,3,20 - 24,111,169
"2130",1997,3,25 - 29,164,150
"2130",1997,3,30 - 34,305,196
"2130",1997,3,35 - 39,455,260
"2130",1997,3,40 - 44,672,352
"2130",1997,3,45 - 49,771,501
"2130",1997,3,50 - 54,963,662
"2130",1997,3,55 - 59,1128,987
"2130",1997,3,60 - 64,1344,1319
"2130",1997,3,65 - 69,1601,1706
"2130",1997,3,70 - 74,1501,1674
"2130",1997,3,75 - 79,1350,1633
"2130",1997,3,80 - 84,989,1140
"2130",1997,3,85 - 89,597,621
"2130",1997,3,90 - 94,218,224
"2130",1997,3,95+,70,63
"2130",1997,3,UNK,150,177
"2130",1997,4,Total,23505,24299
"2130",1997,4,0,47,54
"2130",1997,4,1,24,15
"2130",1997,4,2,15,9
"2130",1997,4,3,12,4
"2130",1997,4,4,2,6
"2130",1997,4,5 - 9,32,37
"2130",1997,4,10 - 14,39,48
"2130",1997,4,15 - 19,67,98
"2130",1997,4,20 - 24,86,138
"2130",1997,4,25 - 29,115,155
"2130",1997,4,30 - 34,181,241
"2130",1997,4,35 - 39,296,381
"2130",1997,4,40 - 44,471,576
"2130",1997,4,45 - 49,680,882
"2130",1997,4,50 - 54,873,1181
"2130",1997,4,55 - 59,1216,1632
"2130",1997,4,60 - 64,1756,2217
"2130",1997,4,65 - 69,2537,2955
"2130",1997,4,70 - 74,2979,3328
"2130",1997,4,75 - 79,3427,3492
"2130",1997,4,80 - 84,3415,3099
"2130",1997,4,85 - 89,2794,2000
"2130",1997,4,90 - 94,1388,918
"2130",1997,4,95+,657,400
"2130",1997,4,UNK,396,433
"2130",1997,5,Total,3353,3946
"2130",1997,5,0,173,235
"2130",1997,5,1,44,63
"2130",1997,5,2,16,26
"2130",1997,5,3,19,15
"2130",1997,5,4,10,14
"2130",1997,5,5 - 9,40,25
"2130",1997,5,10 - 14,34,37
"2130",1997,5,15 - 19,59,78
"2130",1997,5,20 - 24,72,122
"2130",1997,5,25 - 29,64,135
"2130",1997,5,30 - 34,65,118
"2130",1997,5,35 - 39,75,131
"2130",1997,5,40 - 44,70,127
"2130",1997,5,45 - 49,91,133
"2130",1997,5,50 - 54,85,153
"2130",1997,5,55 - 59,130,159
"2130",1997,5,60 - 64,166,215
"2130",1997,5,65 - 69,219,279
"2130",1997,5,70 - 74,257,339
"2130",1997,5,75 - 79,363,402
"2130",1997,5,80 - 84,402,428
"2130",1997,5,85 - 89,376,306
"2130",1997,5,90 - 94,246,176
"2130",1997,5,95+,190,92
"2130",1997,5,UNK,87,138
"2130",1997,6,Total,19,15
"2130",1997,6,0,1,0
"2130",1997,6,1,1,0
"2130",1997,6,2,0,0
"2130",1997,6,3,0,0
"2130",1997,6,4,0,0
"2130",1997,6,5 - 9,0,0
"2130",1997,6,10 - 14,0,0
"2130",1997,6,15 - 19,0,0
"2130",1997,6,20 - 24,0,0
"2130",1997,6,25 - 29,0,1
"2130",1997,6,30 - 34,2,1
"2130",1997,6,35 - 39,0,0
"2130",1997,6,40 - 44,3,1
"2130",1997,6,45 - 49,0,1
"2130",1997,6,50 - 54,0,1
"2130",1997,6,55 - 59,0,0
"2130",1997,6,60 - 64,0,1
"2130",1997,6,65 - 69,1,1
"2130",1997,6,70 - 74,2,1
"2130",1997,6,75 - 79,1,0
"2130",1997,6,80 - 84,5,4
"2130",1997,6,85 - 89,1,1
"2130",1997,6,90 - 94,2,0
"2130",1997,6,95+,0,1
"2130",1997,6,UNK,0,1
"2130",1997,7,Total,923,1050
"2130",1997,7,0,138,153
"2130",1997,7,1,30,39
"2130",1997,7,2,22,27
"2130",1997,7,3,12,18
"2130",1997,7,4,19,14
"2130",1997,7,5 - 9,45,48
"2130",1997,7,10 - 14,24,44
"2130",1997,7,15 - 19,35,58
"2130",1997,7,20 - 24,37,68
"2130",1997,7,25 - 29,38,66
"2130",1997,7,30 - 34,39,41
"2130",1997,7,35 - 39,37,37
"2130",1997,7,40 - 44,40,54
"2130",1997,7,45 - 49,32,27
"2130",1997,7,50 - 54,36,38
"2130",1997,7,55 - 59,32,33
"2130",1997,7,60 - 64,43,47
"2130",1997,7,65 - 69,44,40
"2130",1997,7,70 - 74,53,55
"2130",1997,7,75 - 79,49,47
"2130",1997,7,80 - 84,41,42
"2130",1997,7,85 - 89,40,27
"2130",1997,7,90 - 94,10,10
"2130",1997,7,95+,12,2
"2130",1997,7,UNK,15,15
"2130",1997,8,Total,3850,2984
"2130",1997,8,0,132,135
"2130",1997,8,1,53,55
"2130",1997,8,2,12,12
"2130",1997,8,3,5,6
"2130",1997,8,4,4,8
"2130",1997,8,5 - 9,16,10
"2130",1997,8,10 - 14,13,14
"2130",1997,8,15 - 19,19,22
"2130",1997,8,20 - 24,25,20
"2130",1997,8,25 - 29,25,33
"2130",1997,8,30 - 34,34,39
"2130",1997,8,35 - 39,56,64
"2130",1997,8,40 - 44,71,68
"2130",1997,8,45 - 49,114,116
"2130",1997,8,50 - 54,160,139
"2130",1997,8,55 - 59,257,207
"2130",1997,8,60 - 64,396,291
"2130",1997,8,65 - 69,455,359
"2130",1997,8,70 - 74,495,373
"2130",1997,8,75 - 79,477,358
"2130",1997,8,80 - 84,439,293
"2130",1997,8,85 - 89,320,184
"2130",1997,8,90 - 94,144,78
"2130",1997,8,95+,62,33
"2130",1997,8,UNK,66,67
"2130",1997,9,Total,2753,3568
"2130",1997,9,0,46,75
"2130",1997,9,1,10,23
"2130",1997,9,2,6,8
"2130",1997,9,3,2,10
"2130",1997,9,4,2,7
"2130",1997,9,5 - 9,8,30
"2130",1997,9,10 - 14,15,15
"2130",1997,9,15 - 19,26,29
"2130",1997,9,20 - 24,35,50
"2130",1997,9,25 - 29,37,55
"2130",1997,9,30 - 34,39,61
"2130",1997,9,35 - 39,55,92
"2130",1997,9,40 - 44,66,161
"2130",1997,9,45 - 49,97,194
"2130",1997,9,50 - 54,133,216
"2130",1997,9,55 - 59,171,304
"2130",1997,9,60 - 64,237,370
"2130",1997,9,65 - 69,346,425
"2130",1997,9,70 - 74,331,417
"2130",1997,9,75 - 79,337,390
"2130",1997,9,80 - 84,313,275
"2130",1997,9,85 - 89,231,189
"2130",1997,9,90 - 94,113,78
"2130",1997,9,95+,53,36
"2130",1997,9,UNK,44,58
"2130",1997,10,Total,1224,1385
"2130",1997,10,0,18,27
"2130",1997,10,1,4,13
"2130",1997,10,2,4,4
"2130",1997,10,3,2,4
"2130",1997,10,4,1,4
"2130",1997,10,5 - 9,6,15
"2130",1997,10,10 - 14,13,12
"2130",1997,10,15 - 19,32,22
"2130",1997,10,20 - 24,28,25
"2130",1997,10,25 - 29,29,30
"2130",1997,10,30 - 34,36,22
"2130",1997,10,35 - 39,32,32
"2130",1997,10,40 - 44,49,45
"2130",1997,10,45 - 49,41,49
"2130",1997,10,50 - 54,58,55
"2130",1997,10,55 - 59,72,79
"2130",1997,10,60 - 64,76,103
"2130",1997,10,65 - 69,99,148
"2130",1997,10,70 - 74,103,155
"2130",1997,10,75 - 79,168,157
"2130",1997,10,80 - 84,115,168
"2130",1997,10,85 - 89,101,111
"2130",1997,10,90 - 94,83,51
"2130",1997,10,95+,36,22
"2130",1997,10,UNK,18,32
"2130",1997,11,Total,3164,4295
"2130",1997,11,0,2921,4014
"2130",1997,11,1,49,48
"2130",1997,11,2,12,28
"2130",1997,11,3,7,15
"2130",1997,11,4,10,13
"2130",1997,11,5 - 9,35,19
"2130",1997,11,10 - 14,20,19
"2130",1997,11,15 - 19,16,16
"2130",1997,11,20 - 24,9,11
"2130",1997,11,25 - 29,7,4
"2130",1997,11,30 - 34,11,3
"2130",1997,11,35 - 39,8,7
"2130",1997,11,40 - 44,2,6
"2130",1997,11,45 - 49,4,10
"2130",1997,11,50 - 54,0,1
"2130",1997,11,55 - 59,2,2
"2130",1997,11,60 - 64,4,7
"2130",1997,11,65 - 69,1,2
"2130",1997,11,70 - 74,4,6
"2130",1997,11,75 - 79,0,0
"2130",1997,11,80 - 84,1,2
"2130",1997,11,85 - 89,1,0
"2130",1997,11,90 - 94,1,0
"2130",1997,11,95+,0,0
"2130",1997,11,UNK,39,62
"2130",1997,12,Total,6978,8134
"2130",1997,12,0,633,847
"2130",1997,12,1,192,198
"2130",1997,12,2,66,81
"2130",1997,12,3,35,39
"2130",1997,12,4,12,31
"2130",1997,12,5 - 9,50,64
"2130",1997,12,10 - 14,47,62
"2130",1997,12,15 - 19,75,78
"2130",1997,12,20 - 24,66,90
"2130",1997,12,25 - 29,53,83
"2130",1997,12,30 - 34,70,94
"2130",1997,12,35 - 39,81,115
"2130",1997,12,40 - 44,84,102
"2130",1997,12,45 - 49,108,126
"2130",1997,12,50 - 54,133,205
"2130",1997,12,55 - 59,238,296
"2130",1997,12,60 - 64,392,508
"2130",1997,12,65 - 69,610,762
"2130",1997,12,70 - 74,714,976
"2130",1997,12,75 - 79,892,1075
"2130",1997,12,80 - 84,926,978
"2130",1997,12,85 - 89,764,716
"2130",1997,12,90 - 94,424,344
"2130",1997,12,95+,192,138
"2130",1997,12,UNK,121,126
"2130",1997,13,Total,3749,14557
"2130",1997,13,0,108,131
