"","Year","Cause","Age","Female","Male"
"2170",1996,1,Total,9924,13767
"2170",1996,1,0,989,1116
"2170",1996,1,1,120,147
"2170",1996,1,2,54,75
"2170",1996,1,3,42,48
"2170",1996,1,4,26,48
"2170",1996,1,5 - 9,100,132
"2170",1996,1,10 - 14,80,131
"2170",1996,1,15 - 19,143,326
"2170",1996,1,20 - 24,210,530
"2170",1996,1,25 - 29,276,586
"2170",1996,1,30 - 34,302,627
"2170",1996,1,35 - 39,308,573
"2170",1996,1,40 - 44,315,553
"2170",1996,1,45 - 49,385,577
"2170",1996,1,50 - 54,426,631
"2170",1996,1,55 - 59,429,681
"2170",1996,1,60 - 64,649,954
"2170",1996,1,65 - 69,719,1108
"2170",1996,1,70 - 74,775,1083
"2170",1996,1,75 - 79,751,974
"2170",1996,1,80 - 84,800,954
"2170",1996,1,85 - 89,682,643
"2170",1996,1,90 - 94,505,411
"2170",1996,1,95+,460,305
"2170",1996,1,UNK,378,554
"2170",1996,2,Total,836,1258
"2170",1996,2,0,156,189
"2170",1996,2,1,28,45
"2170",1996,2,2,12,15
"2170",1996,2,3,7,7
"2170",1996,2,4,5,9
"2170",1996,2,5 - 9,11,13
"2170",1996,2,10 - 14,13,11
"2170",1996,2,15 - 19,15,14
"2170",1996,2,20 - 24,55,56
"2170",1996,2,25 - 29,85,100
"2170",1996,2,30 - 34,74,139
"2170",1996,2,35 - 39,56,130
"2170",1996,2,40 - 44,53,94
"2170",1996,2,45 - 49,35,78
"2170",1996,2,50 - 54,31,43
"2170",1996,2,55 - 59,30,33
"2170",1996,2,60 - 64,20,40
"2170",1996,2,65 - 69,25,37
"2170",1996,2,70 - 74,23,51
"2170",1996,2,75 - 79,18,37
"2170",1996,2,80 - 84,21,26
"2170",1996,2,85 - 89,10,17
"2170",1996,2,90 - 94,9,11
"2170",1996,2,95+,17,8
"2170",1996,2,UNK,27,55
"2170",1996,3,Total,1316,1447
"2170",1996,3,0,18,7
"2170",1996,3,1,3,1
"2170",1996,3,2,3,5
"2170",1996,3,3,3,4
"2170",1996,3,4,7,3
"2170",1996,3,5 - 9,12,15
"2170",1996,3,10 - 14,10,11
"2170",1996,3,15 - 19,9,13
"2170",1996,3,20 - 24,18,22
"2170",1996,3,25 - 29,33,21
"2170",1996,3,30 - 34,31,27
"2170",1996,3,35 - 39,72,39
"2170",1996,3,40 - 44,77,39
"2170",1996,3,45 - 49,110,53
"2170",1996,3,50 - 54,87,72
"2170",1996,3,55 - 59,105,92
"2170",1996,3,60 - 64,124,136
"2170",1996,3,65 - 69,126,186
"2170",1996,3,70 - 74,114,179
"2170",1996,3,75 - 79,113,145
"2170",1996,3,80 - 84,89,172
"2170",1996,3,85 - 89,61,93
"2170",1996,3,90 - 94,34,51
"2170",1996,3,95+,23,22
"2170",1996,3,UNK,34,39
"2170",1996,4,Total,3285,3840
"2170",1996,4,0,29,47
"2170",1996,4,1,10,7
"2170",1996,4,2,3,4
"2170",1996,4,3,2,3
"2170",1996,4,4,0,4
"2170",1996,4,5 - 9,8,10
"2170",1996,4,10 - 14,6,11
"2170",1996,4,15 - 19,16,35
"2170",1996,4,20 - 24,26,23
"2170",1996,4,25 - 29,44,38
"2170",1996,4,30 - 34,57,64
"2170",1996,4,35 - 39,60,73
"2170",1996,4,40 - 44,79,101
"2170",1996,4,45 - 49,111,134
"2170",1996,4,50 - 54,148,190
"2170",1996,4,55 - 59,148,259
"2170",1996,4,60 - 64,245,365
"2170",1996,4,65 - 69,292,452
"2170",1996,4,70 - 74,355,427
"2170",1996,4,75 - 79,357,438
"2170",1996,4,80 - 84,369,394
"2170",1996,4,85 - 89,341,280
"2170",1996,4,90 - 94,224,192
"2170",1996,4,95+,219,132
"2170",1996,4,UNK,136,157
"2170",1996,5,Total,1224,1665
"2170",1996,5,0,85,69
"2170",1996,5,1,12,14
"2170",1996,5,2,5,7
"2170",1996,5,3,3,5
"2170",1996,5,4,0,7
"2170",1996,5,5 - 9,14,11
"2170",1996,5,10 - 14,8,12
"2170",1996,5,15 - 19,19,49
"2170",1996,5,20 - 24,26,75
"2170",1996,5,25 - 29,29,82
"2170",1996,5,30 - 34,33,71
"2170",1996,5,35 - 39,27,70
"2170",1996,5,40 - 44,24,62
"2170",1996,5,45 - 49,35,66
"2170",1996,5,50 - 54,44,72
"2170",1996,5,55 - 59,31,66
"2170",1996,5,60 - 64,67,98
"2170",1996,5,65 - 69,71,109
"2170",1996,5,70 - 74,77,116
"2170",1996,5,75 - 79,78,102
"2170",1996,5,80 - 84,106,130
"2170",1996,5,85 - 89,102,114
"2170",1996,5,90 - 94,126,79
"2170",1996,5,95+,140,74
"2170",1996,5,UNK,62,105
"2170",1996,6,Total,17,71
"2170",1996,6,0,0,0
"2170",1996,6,1,3,0
"2170",1996,6,2,1,0
"2170",1996,6,3,0,0
"2170",1996,6,4,0,0
"2170",1996,6,5 - 9,0,0
"2170",1996,6,10 - 14,0,0
"2170",1996,6,15 - 19,1,2
"2170",1996,6,20 - 24,0,3
"2170",1996,6,25 - 29,3,5
"2170",1996,6,30 - 34,1,9
"2170",1996,6,35 - 39,1,10
"2170",1996,6,40 - 44,0,9
"2170",1996,6,45 - 49,0,6
"2170",1996,6,50 - 54,0,4
"2170",1996,6,55 - 59,1,5
"2170",1996,6,60 - 64,0,4
"2170",1996,6,65 - 69,1,2
"2170",1996,6,70 - 74,1,3
"2170",1996,6,75 - 79,1,3
"2170",1996,6,80 - 84,2,2
"2170",1996,6,85 - 89,1,1
"2170",1996,6,90 - 94,0,1
"2170",1996,6,95+,0,2
"2170",1996,6,UNK,0,0
"2170",1996,7,Total,164,217
"2170",1996,7,0,18,24
"2170",1996,7,1,7,13
"2170",1996,7,2,6,1
"2170",1996,7,3,5,6
"2170",1996,7,4,0,6
"2170",1996,7,5 - 9,4,7
"2170",1996,7,10 - 14,4,8
"2170",1996,7,15 - 19,7,11
"2170",1996,7,20 - 24,5,8
"2170",1996,7,25 - 29,5,8
"2170",1996,7,30 - 34,7,10
"2170",1996,7,35 - 39,5,6
"2170",1996,7,40 - 44,6,8
"2170",1996,7,45 - 49,4,10
"2170",1996,7,50 - 54,7,11
"2170",1996,7,55 - 59,3,8
"2170",1996,7,60 - 64,4,14
"2170",1996,7,65 - 69,8,9
"2170",1996,7,70 - 74,11,12
"2170",1996,7,75 - 79,12,9
"2170",1996,7,80 - 84,15,10
"2170",1996,7,85 - 89,3,5
"2170",1996,7,90 - 94,6,2
"2170",1996,7,95+,4,4
"2170",1996,7,UNK,8,7
"2170",1996,8,Total,635,646
"2170",1996,8,0,35,33
"2170",1996,8,1,8,20
"2170",1996,8,2,6,5
"2170",1996,8,3,2,4
"2170",1996,8,4,1,2
"2170",1996,8,5 - 9,6,3
"2170",1996,8,10 - 14,2,2
"2170",1996,8,15 - 19,8,6
"2170",1996,8,20 - 24,10,7
"2170",1996,8,25 - 29,7,12
"2170",1996,8,30 - 34,7,12
"2170",1996,8,35 - 39,9,21
"2170",1996,8,40 - 44,13,23
"2170",1996,8,45 - 49,19,27
"2170",1996,8,50 - 54,24,42
"2170",1996,8,55 - 59,32,38
"2170",1996,8,60 - 64,67,60
"2170",1996,8,65 - 69,62,66
"2170",1996,8,70 - 74,65,72
"2170",1996,8,75 - 79,70,57
"2170",1996,8,80 - 84,62,50
"2170",1996,8,85 - 89,61,34
"2170",1996,8,90 - 94,22,12
"2170",1996,8,95+,16,13
"2170",1996,8,UNK,21,25
"2170",1996,9,Total,511,838
"2170",1996,9,0,9,12
"2170",1996,9,1,0,0
"2170",1996,9,2,0,3
"2170",1996,9,3,1,2
"2170",1996,9,4,3,0
"2170",1996,9,5 - 9,0,3
"2170",1996,9,10 - 14,8,2
"2170",1996,9,15 - 19,4,10
"2170",1996,9,20 - 24,5,18
"2170",1996,9,25 - 29,6,21
"2170",1996,9,30 - 34,16,30
"2170",1996,9,35 - 39,9,28
"2170",1996,9,40 - 44,14,40
"2170",1996,9,45 - 49,27,54
"2170",1996,9,50 - 54,33,66
"2170",1996,9,55 - 59,39,69
"2170",1996,9,60 - 64,58,100
"2170",1996,9,65 - 69,72,105
"2170",1996,9,70 - 74,50,79
"2170",1996,9,75 - 79,42,74
"2170",1996,9,80 - 84,44,52
"2170",1996,9,85 - 89,32,18
"2170",1996,9,90 - 94,17,17
"2170",1996,9,95+,5,7
"2170",1996,9,UNK,17,28
"2170",1996,10,Total,126,194
"2170",1996,10,0,2,0
"2170",1996,10,1,0,0
"2170",1996,10,2,2,2
"2170",1996,10,3,2,1
"2170",1996,10,4,0,0
"2170",1996,10,5 - 9,0,1
"2170",1996,10,10 - 14,0,3
"2170",1996,10,15 - 19,3,8
"2170",1996,10,20 - 24,5,5
"2170",1996,10,25 - 29,7,7
"2170",1996,10,30 - 34,10,4
"2170",1996,10,35 - 39,8,6
"2170",1996,10,40 - 44,5,14
"2170",1996,10,45 - 49,5,11
"2170",1996,10,50 - 54,6,13
"2170",1996,10,55 - 59,9,10
"2170",1996,10,60 - 64,11,17
"2170",1996,10,65 - 69,12,20
"2170",1996,10,70 - 74,13,17
"2170",1996,10,75 - 79,9,18
"2170",1996,10,80 - 84,8,17
"2170",1996,10,85 - 89,4,6
"2170",1996,10,90 - 94,1,2
"2170",1996,10,95+,1,6
"2170",1996,10,UNK,3,6
"2170",1996,11,Total,609,685
"2170",1996,11,0,557,633
"2170",1996,11,1,6,5
"2170",1996,11,2,2,3
"2170",1996,11,3,3,3
"2170",1996,11,4,1,1
"2170",1996,11,5 - 9,4,6
"2170",1996,11,10 - 14,3,0
"2170",1996,11,15 - 19,3,4
