"","Year","Cause","Age","Female","Male"
"2025",1999,1,Total,255,297
"2025",1999,1,0,8,2
"2025",1999,1,1,0,1
"2025",1999,1,2,0,0
"2025",1999,1,3,0,0
"2025",1999,1,4,2,0
"2025",1999,1,5 - 9,3,0
"2025",1999,1,10 - 14,1,1
"2025",1999,1,15 - 19,0,5
"2025",1999,1,20 - 24,2,2
"2025",1999,1,25 - 29,3,8
"2025",1999,1,30 - 34,5,7
"2025",1999,1,35 - 39,5,6
"2025",1999,1,40 - 44,3,12
"2025",1999,1,45 - 49,4,13
"2025",1999,1,50 - 54,4,17
"2025",1999,1,55 - 59,19,23
"2025",1999,1,60 - 64,27,35
"2025",1999,1,65 - 69,20,35
"2025",1999,1,70 - 74,31,31
"2025",1999,1,75 - 79,25,24
"2025",1999,1,80 - 84,42,35
"2025",1999,1,85 - 89,32,27
"2025",1999,1,90 - 94,14,9
"2025",1999,1,95+,4,4
"2025",1999,1,UNK,1,0
"2025",1999,2,Total,15,16
"2025",1999,2,0,0,0
"2025",1999,2,1,0,0
"2025",1999,2,2,0,0
"2025",1999,2,3,0,0
"2025",1999,2,4,1,0
"2025",1999,2,5 - 9,1,0
"2025",1999,2,10 - 14,1,0
"2025",1999,2,15 - 19,0,0
"2025",1999,2,20 - 24,0,1
"2025",1999,2,25 - 29,0,1
"2025",1999,2,30 - 34,1,1
"2025",1999,2,35 - 39,2,0
"2025",1999,2,40 - 44,1,1
"2025",1999,2,45 - 49,0,1
"2025",1999,2,50 - 54,1,2
"2025",1999,2,55 - 59,0,1
"2025",1999,2,60 - 64,0,1
"2025",1999,2,65 - 69,0,1
"2025",1999,2,70 - 74,2,0
"2025",1999,2,75 - 79,0,3
"2025",1999,2,80 - 84,2,1
"2025",1999,2,85 - 89,2,1
"2025",1999,2,90 - 94,1,1
"2025",1999,2,95+,0,0
"2025",1999,2,UNK,0,0
"2025",1999,3,Total,50,57
"2025",1999,3,0,0,0
"2025",1999,3,1,0,0
"2025",1999,3,2,0,0
"2025",1999,3,3,0,0
"2025",1999,3,4,0,0
"2025",1999,3,5 - 9,0,0
"2025",1999,3,10 - 14,0,1
"2025",1999,3,15 - 19,0,0
"2025",1999,3,20 - 24,1,0
"2025",1999,3,25 - 29,1,0
"2025",1999,3,30 - 34,3,0
"2025",1999,3,35 - 39,0,0
"2025",1999,3,40 - 44,1,2
"2025",1999,3,45 - 49,2,1
"2025",1999,3,50 - 54,2,3
"2025",1999,3,55 - 59,5,2
"2025",1999,3,60 - 64,11,7
"2025",1999,3,65 - 69,4,8
"2025",1999,3,70 - 74,5,7
"2025",1999,3,75 - 79,4,7
"2025",1999,3,80 - 84,6,10
"2025",1999,3,85 - 89,4,5
"2025",1999,3,90 - 94,1,3
"2025",1999,3,95+,0,1
"2025",1999,3,UNK,0,0
"2025",1999,4,Total,97,109
"2025",1999,4,0,0,0
"2025",1999,4,1,0,0
"2025",1999,4,2,0,0
"2025",1999,4,3,0,0
"2025",1999,4,4,0,0
"2025",1999,4,5 - 9,0,0
"2025",1999,4,10 - 14,0,0
"2025",1999,4,15 - 19,0,0
"2025",1999,4,20 - 24,0,0
"2025",1999,4,25 - 29,0,0
"2025",1999,4,30 - 34,0,1
"2025",1999,4,35 - 39,2,1
"2025",1999,4,40 - 44,1,3
"2025",1999,4,45 - 49,1,2
"2025",1999,4,50 - 54,0,5
"2025",1999,4,55 - 59,5,12
"2025",1999,4,60 - 64,7,15
"2025",1999,4,65 - 69,10,18
"2025",1999,4,70 - 74,13,17
"2025",1999,4,75 - 79,9,7
"2025",1999,4,80 - 84,21,13
"2025",1999,4,85 - 89,17,11
"2025",1999,4,90 - 94,7,3
"2025",1999,4,95+,3,1
"2025",1999,4,UNK,1,0
"2025",1999,5,Total,18,22
"2025",1999,5,0,1,0
"2025",1999,5,1,0,0
"2025",1999,5,2,0,0
"2025",1999,5,3,0,0
"2025",1999,5,4,0,0
"2025",1999,5,5 - 9,0,0
"2025",1999,5,10 - 14,0,0
"2025",1999,5,15 - 19,0,0
"2025",1999,5,20 - 24,0,0
"2025",1999,5,25 - 29,0,1
"2025",1999,5,30 - 34,0,0
"2025",1999,5,35 - 39,0,1
"2025",1999,5,40 - 44,0,1
"2025",1999,5,45 - 49,0,1
"2025",1999,5,50 - 54,1,2
"2025",1999,5,55 - 59,3,0
"2025",1999,5,60 - 64,2,1
"2025",1999,5,65 - 69,1,5
"2025",1999,5,70 - 74,2,0
"2025",1999,5,75 - 79,0,0
"2025",1999,5,80 - 84,5,4
"2025",1999,5,85 - 89,1,4
"2025",1999,5,90 - 94,2,1
"2025",1999,5,95+,0,1
"2025",1999,5,UNK,0,0
"2025",0,6,Total,0,1
"2025",0,6,0,0,0
"2025",0,6,1,0,0
"2025",0,6,2,0,0
"2025",0,6,3,0,0
"2025",0,6,4,0,0
"2025",0,6,5 - 9,0,0
"2025",0,6,10 - 14,0,0
"2025",0,6,15 - 19,0,0
"2025",0,6,20 - 24,0,0
"2025",0,6,25 - 29,0,0
"2025",0,6,30 - 34,0,0
"2025",0,6,35 - 39,0,0
"2025",0,6,40 - 44,0,0
"2025",0,6,45 - 49,0,1
"2025",0,6,50 - 54,0,0
"2025",0,6,55 - 59,0,0
"2025",0,6,60 - 64,0,0
"2025",0,6,65 - 69,0,0
"2025",0,6,70 - 74,0,0
"2025",0,6,75 - 79,0,0
"2025",0,6,80 - 84,0,0
"2025",0,6,85 - 89,0,0
"2025",0,6,90 - 94,0,0
"2025",0,6,95+,0,0
"2025",0,6,UNK,0,0
"2025",1999,7,Total,5,4
"2025",1999,7,0,0,0
"2025",1999,7,1,0,0
"2025",1999,7,2,0,0
"2025",1999,7,3,0,0
"2025",1999,7,4,0,0
"2025",1999,7,5 - 9,0,0
"2025",1999,7,10 - 14,0,0
"2025",1999,7,15 - 19,0,0
"2025",1999,7,20 - 24,0,0
"2025",1999,7,25 - 29,0,1
"2025",1999,7,30 - 34,0,0
"2025",1999,7,35 - 39,1,0
"2025",1999,7,40 - 44,0,0
"2025",1999,7,45 - 49,0,0
"2025",1999,7,50 - 54,0,1
"2025",1999,7,55 - 59,0,1
"2025",1999,7,60 - 64,1,0
"2025",1999,7,65 - 69,1,0
"2025",1999,7,70 - 74,1,0
"2025",1999,7,75 - 79,0,1
"2025",1999,7,80 - 84,1,0
"2025",1999,7,85 - 89,0,0
