"","Year","Cause","Age","Female","Male"
"2070",1996,1,Total,376502,530068
"2070",1996,1,0,32325,42097
"2070",1996,1,1,3000,3469
"2070",1996,1,2,1311,1568
"2070",1996,1,3,818,1048
"2070",1996,1,4,667,829
"2070",1996,1,5 - 9,2357,3556
"2070",1996,1,10 - 14,2764,4620
"2070",1996,1,15 - 19,4711,13695
"2070",1996,1,20 - 24,5445,19457
"2070",1996,1,25 - 29,6473,20937
"2070",1996,1,30 - 34,8218,22927
"2070",1996,1,35 - 39,10073,24466
"2070",1996,1,40 - 44,12300,26051
"2070",1996,1,45 - 49,14811,27533
"2070",1996,1,50 - 54,17134,29413
"2070",1996,1,55 - 59,21682,34337
"2070",1996,1,60 - 64,26910,40181
"2070",1996,1,65 - 69,33836,46685
"2070",1996,1,70 - 74,37117,47439
"2070",1996,1,75 - 79,39712,42756
"2070",1996,1,80 - 84,40275,36031
"2070",1996,1,85 - 89,29998,22353
"2070",1996,1,90 - 94,16345,9196
"2070",1996,1,95+,5315,2573
"2070",1996,1,UNK,2905,6851
"2070",1996,2,Total,103872,137590
"2070",1996,2,0,12549,16342
"2070",1996,2,1,1371,1517
"2070",1996,2,2,540,605
"2070",1996,2,3,313,387
"2070",1996,2,4,254,306
"2070",1996,2,5 - 9,892,1380
"2070",1996,2,10 - 14,935,1491
"2070",1996,2,15 - 19,1466,3809
"2070",1996,2,20 - 24,1583,5160
"2070",1996,2,25 - 29,1805,5233
"2070",1996,2,30 - 34,2116,5488
"2070",1996,2,35 - 39,2490,5626
"2070",1996,2,40 - 44,3064,5684
"2070",1996,2,45 - 49,3746,6076
"2070",1996,2,50 - 54,4280,6353
"2070",1996,2,55 - 59,5594,7336
"2070",1996,2,60 - 64,6402,8085
"2070",1996,2,65 - 69,8121,9920
"2070",1996,2,70 - 74,8953,11258
"2070",1996,2,75 - 79,10052,11308
"2070",1996,2,80 - 84,10601,10526
"2070",1996,2,85 - 89,8477,7291
"2070",1996,2,90 - 94,5056,3049
"2070",1996,2,95+,1597,926
"2070",1996,2,UNK,1615,2434
"2070",1996,3,Total,272630,392478
"2070",1996,3,0,19776,25755
"2070",1996,3,1,1629,1952
"2070",1996,3,2,771,963
"2070",1996,3,3,505,661
"2070",1996,3,4,413,523
"2070",1996,3,5 - 9,1465,2176
"2070",1996,3,10 - 14,1829,3129
"2070",1996,3,15 - 19,3245,9886
"2070",1996,3,20 - 24,3862,14297
"2070",1996,3,25 - 29,4668,15704
"2070",1996,3,30 - 34,6102,17439
"2070",1996,3,35 - 39,7583,18840
"2070",1996,3,40 - 44,9236,20367
"2070",1996,3,45 - 49,11065,21457
"2070",1996,3,50 - 54,12854,23060
"2070",1996,3,55 - 59,16088,27001
"2070",1996,3,60 - 64,20508,32096
"2070",1996,3,65 - 69,25715,36765
"2070",1996,3,70 - 74,28164,36181
"2070",1996,3,75 - 79,29660,31448
"2070",1996,3,80 - 84,29674,25505
"2070",1996,3,85 - 89,21521,15062
"2070",1996,3,90 - 94,11289,6147
"2070",1996,3,95+,3718,1647
"2070",1996,3,UNK,1290,4417
"2070",1996,4,Total,38726,66066
"2070",1996,4,0,7318,9448
"2070",1996,4,1,1158,1334
"2070",1996,4,2,428,474
"2070",1996,4,3,290,310
"2070",1996,4,4,206,208
"2070",1996,4,5 - 9,478,590
"2070",1996,4,10 - 14,354,494
"2070",1996,4,15 - 19,598,856
"2070",1996,4,20 - 24,1256,2142
"2070",1996,4,25 - 29,2220,5408
"2070",1996,4,30 - 34,2484,6950
"2070",1996,4,35 - 39,2142,6468
"2070",1996,4,40 - 44,1886,5426
"2070",1996,4,45 - 49,1614,4210
"2070",1996,4,50 - 54,1666,3424
"2070",1996,4,55 - 59,1738,3260
"2070",1996,4,60 - 64,1870,2930
"2070",1996,4,65 - 69,2136,2992
"2070",1996,4,70 - 74,2138,2694
"2070",1996,4,75 - 79,2092,2294
"2070",1996,4,80 - 84,1978,1798
"2070",1996,4,85 - 89,1358,1138
"2070",1996,4,90 - 94,690,386
"2070",1996,4,95+,206,108
"2070",1996,4,UNK,422,724
"2070",1996,5,Total,94828,111776
"2070",1996,5,0,156,160
"2070",1996,5,1,116,128
"2070",1996,5,2,140,160
"2070",1996,5,3,136,182
"2070",1996,5,4,120,166
"2070",1996,5,5 - 9,512,692
"2070",1996,5,10 - 14,574,690
"2070",1996,5,15 - 19,652,1012
"2070",1996,5,20 - 24,808,924
"2070",1996,5,25 - 29,1108,1128
"2070",1996,5,30 - 34,2198,1530
"2070",1996,5,35 - 39,3586,2356
"2070",1996,5,40 - 44,5296,4086
"2070",1996,5,45 - 49,6666,6464
"2070",1996,5,50 - 54,7628,8500
"2070",1996,5,55 - 59,9220,11580
"2070",1996,5,60 - 64,10440,14326
"2070",1996,5,65 - 69,11832,16356
"2070",1996,5,70 - 74,10666,15274
"2070",1996,5,75 - 79,9168,11948
"2070",1996,5,80 - 84,7344,8128
"2070",1996,5,85 - 89,4132,4050
"2070",1996,5,90 - 94,1598,1226
"2070",1996,5,95+,340,266
"2070",1996,5,UNK,392,444
"2070",1996,6,Total,236308,261876
"2070",1996,6,0,350,390
"2070",1996,6,1,150,174
