"","Age","Cause","Contribution","Period1","Period2","Sex","Country","Sources","e01","e02","Cause.name","Country.name","dif","e01","e02","dif"
"28981",0,2,0.0140232003779116,"2005-2010","2010-2015",1,2170,"CEPAL2004",67.5916966744677,68.5395866516568,"Infectious","DOMINICAN REPUBLIC",0.947889977189107,71.4710922894015,72.4874399744029,1.01634768500136
"30241",0,2,-0.000372883791855816,"1990-1995","1995-2000",1,2460,"CEPAL2004",68.0116043097245,68.9738258199382,"Infectious","URUGUAY",0.962221510213723,73.8249776131614,74.5071775256059,0.682199912444474
"30493",0,2,0.0330259030775578,"1995-2000","2000-2005",1,2460,"CEPAL2004",68.9738258199382,69.9059079850136,"Infectious","URUGUAY",0.932082165075386,74.5071775256059,75.1435320391122,0.636354513506376
"30745",0,2,0.0152246707662005,"2000-2005","2005-2010",1,2460,"CEPAL2004",69.9059079850136,70.7285635048045,"Infectious","URUGUAY",0.822655519790914,75.1435320391122,75.6672518293013,0.523719790189034
"30997",0,2,0.0147254475188422,"2005-2010","2010-2015",1,2460,"CEPAL2004",70.7285635048045,71.4647180569688,"Infectious","URUGUAY",0.736154552164322,75.6672518293013,76.146811908701,0.479560079399704
"32257",0,2,0.0233386294769083,"1990-1995","1995-2000",1,2020,"CEPAL2010",68.6177944530556,69.6661672442219,"Infectious","ARGENTINA",1.04837279116632,75.8129290963094,76.9606279546607,1.14769885835125
"32565",0,2,0.0422378624086203,"1995-2000","2000-2005",1,2020,"CEPAL2010",69.6661672442219,70.6155292454548,"Infectious","ARGENTINA",0.949362001232842,76.9606279546607,78.1014812707109,1.14085331605025
"32873",0,2,0.0103472398831982,"2000-2005","2005-2010",1,2020,"CEPAL2010",70.6155292454548,71.5701678393678,"Infectious","ARGENTINA",0.954638593913046,78.1014812707109,79.0601334033711,0.958652132660106
"33181",0,2,0.00848350501491777,"2005-2010","2010-2015",1,2020,"CEPAL2010",71.5701678393678,72.4643144193386,"Infectious","ARGENTINA",0.894146579970823,79.0601334033711,79.9403708498368,0.880237446465699
"34721",0,2,0.202240010162195,"1995-2000","2000-2005",1,2060,"CEPAL2010",60.0934721812851,61.8091570960114,"Infectious","BOLIVIA",1.71568491472634,64.0280279011211,65.9995850382196,1.97155713709847
"35337",0,2,0.17023959107756,"1990-1995","1995-2000",1,2070,"CEPAL2010",63.7243073444843,65.6827519366468,"Infectious","BRAZIL",1.95844459216249,71.4505218477851,73.3102213776833,1.85969952989825
"35645",0,2,0.110317353102211,"1995-2000","2000-2005",1,2070,"CEPAL2010",65.6827519366468,67.2910771959771,"Infectious","BRAZIL",1.60832525933023,73.3102213776833,74.8528017864205,1.54258040873712
"35953",0,2,0.0531161472690132,"2000-2005","2005-2010",1,2070,"CEPAL2010",67.2910771959771,68.8284749957698,"Infectious","BRAZIL",1.53739779979279,74.8528017864205,76.0469051587828,1.19410337236232
"36261",0,2,0.0357353048143655,"2005-2010","2010-2015",1,2070,"CEPAL2010",68.8284749957698,69.9576748913391,"Infectious","BRAZIL",1.12919989556926,76.0469051587828,77.16733074534,1.12042558655722
"37801",0,2,0.0118318892494912,"1990-1995","1995-2000",1,2120,"CEPAL2010",71.4601397279767,72.7608670505198,"Infectious","CHILE",1.30072732254308,77.3522994015201,78.7729876793499,1.42068827782977
"38109",0,2,0.0141711169745999,"1995-2000","2000-2005",1,2120,"CEPAL2010",72.7608670505198,74.7985721326064,"Infectious","CHILE",2.03770508208662,78.7729876793499,80.7687332574157,1.99574557806585
"38417",0,2,0.00734411595973912,"2000-2005","2005-2010",1,2120,"CEPAL2010",74.7985721326064,75.4923799648932,"Infectious","CHILE",0.693807832286794,80.7687332574157,81.4887163012324,0.719983043816711
"38725",0,2,0.00147325950637004,"2005-2010","2010-2015",1,2120,"CEPAL2010",75.4923799648932,76.1192310595071,"Infectious","CHILE",0.626851094613826,81.4887163012324,82.1532991310001,0.664582829767653
"40265",0,2,0.0883502541255074,"1990-1995","1995-2000",1,2130,"CEPAL2010",64.5416874703604,66.5411115765857,"Infectious","COLOMBIA",1.99942410622531,73.0359304075567,74.2277179402195,1.19178753266284
"40573",0,2,0.0491132295135846,"1995-2000","2000-2005",1,2130,"CEPAL2010",66.5411115765857,68.0407972245703,"Infectious","COLOMBIA",1.49968564798461,74.2277179402195,75.4261176977506,1.19839975753104
"40881",0,2,0.0367981944177936,"2000-2005","2005-2010",1,2130,"CEPAL2010",68.0407972245703,69.2439656428112,"Infectious","COLOMBIA",1.20316841824091,75.4261176977506,76.6212079879827,1.19509029023212
"41189",0,2,0.0272616062906393,"2005-2010","2010-2015",1,2130,"CEPAL2010",69.2439656428112,70.4383177140678,"Infectious","COLOMBIA",1.19435207125659,76.6212079879827,77.6153101432613,0.994102155278583
"42729",0,2,0.0132499754407849,"1990-1995","1995-2000",1,2140,"CEPAL2010",73.9660489966813,74.9891543415492,"Infectious","COSTA RICA",1.02310534486794,78.6001480793572,79.6664623844179,1.06631430506076
"43037",0,2,0.0187123547353867,"1995-2000","2000-2005",1,2140,"CEPAL2010",74.9891543415492,75.8122699310401,"Infectious","COSTA RICA",0.82311558949084,79.6664623844179,80.5374879369122,0.87102555249426
"43345",0,2,0.00990824186526249,"2000-2005","2005-2010",1,2140,"CEPAL2010",75.8122699310401,76.4448190166621,"Infectious","COSTA RICA",0.632549085622017,80.5374879369122,81.2136288405869,0.676140903674693
"43653",0,2,0.00561555485321921,"2005-2010","2010-2015",1,2140,"CEPAL2010",76.4448190166621,77.0097515664437,"Infectious","COSTA RICA",0.564932549781616,81.2136288405869,81.8229597072985,0.609330866711588
"45193",0,2,0.0755110650901576,"1990-1995","1995-2000",1,2150,"CEPAL2010",72.9404708626433,74.209954118781,"Infectious","CUBA",1.26948325613765,76.7383334795137,78.2335183203039,1.49518484079019
"45501",0,2,0.0458264173738363,"1995-2000","2000-2005",1,2150,"CEPAL2010",74.209954118781,75.2995318705948,"Infectious","CUBA",1.08957775181382,78.2335183203039,79.0865286598967,0.853010339592799
"45809",0,2,0.00286025420790456,"2000-2005","2005-2010",1,2150,"CEPAL2010",75.2995318705948,76.2304895654235,"Infectious","CUBA",0.930957694828734,79.0865286598967,80.3913937517473,1.30486509185059
"46117",0,2,0.00815222888634767,"2005-2010","2010-2015",1,2150,"CEPAL2010",76.2304895654235,77.024249311368,"Infectious","CUBA",0.793759745944428,80.3913937517473,81.1820482276932,0.790654475945871
"47657",0,2,0.277120641229579,"1990-1995","1995-2000",1,2180,"CEPAL2010",67.5729822436556,69.6619336513117,"Infectious","ECUADOR",2.08895140765603,72.6361940224231,75.112194591312,2.47600056888894
"47965",0,2,0.0980446857363959,"1995-2000","2000-2005",1,2180,"CEPAL2010",69.6619336513117,71.3116474953192,"Infectious","ECUADOR",1.64971384400756,75.112194591312,77.200898250645,2.08870365933299
"48273",0,2,0.0805097688760175,"2000-2005","2005-2010",1,2180,"CEPAL2010",71.3116474953192,72.1304228473906,"Infectious","ECUADOR",0.818775352071427,77.200898250645,78.0195605349235,0.818662284278474
"48581",0,2,0.0383455637270257,"2005-2010","2010-2015",1,2180,"CEPAL2010",72.1304228473906,72.913396059683,"Infectious","ECUADOR",0.782973212292319,78.0195605349235,78.8051365544087,0.785576019485163
"50121",0,2,0.111535360494352,"1990-1995","1995-2000",1,2190,"CEPAL2010",63.2559310592663,64.3516866247264,"Infectious","EL SALVADOR",1.09575556546005,72.835873491222,73.8755757071748,1.03970221595283
"50429",0,2,0.152039238890398,"1995-2000","2000-2005",1,2190,"CEPAL2010",64.3516866247264,65.406034008407,"Infectious","EL SALVADOR",1.05434738368068,73.8755757071748,74.8885929518027,1.01301724462782
"50737",0,2,0.0745667497168029,"2000-2005","2005-2010",1,2190,"CEPAL2010",65.406034008407,66.4344082263613,"Infectious","EL SALVADOR",1.02837421795428,74.8885929518027,75.8492197220347,0.960626770232025
"51045",0,2,0.0468944099221832,"2005-2010","2010-2015",1,2190,"CEPAL2010",66.4344082263613,67.4363388014277,"Infectious","EL SALVADOR",1.00193057506635,75.8492197220347,76.8397065131717,0.990486791137016
"52585",0,2,0.174132789697078,"1990-1995","1995-2000",1,2250,"CEPAL2010",60.521482826965,62.8812794510366,"Infectious","GUATEMALA",2.35979662407161,66.7904274993881,69.9911561356964,3.20072863630823
"52893",0,2,0.171046394418866,"1995-2000","2000-2005",1,2250,"CEPAL2010",62.8812794510366,65.5152206121081,"Infectious","GUATEMALA",2.63394116107151,69.9911561356964,72.5107406104018,2.51958447470544
"53201",0,2,0.104034868936216,"2000-2005","2005-2010",1,2250,"CEPAL2010",65.5152206121081,66.7462132550146,"Infectious","GUATEMALA",1.23099264290651,72.5107406104018,73.776798838365,1.2660582279632
"53509",0,2,0.132238941306168,"2005-2010","2010-2015",1,2250,"CEPAL2010",66.7462132550146,67.9335300758965,"Infectious","GUATEMALA",1.18731682088195,73.776798838365,74.9816419373443,1.2048430989793
"55049",0,2,0.0732541216501474,"1995-2000","2000-2005",1,2270,"CEPAL2010",55.212581372759,56.3890327647325,"Infectious","HAITI",1.17645139197345,58.6464811038116,59.8967700254646,1.250288921653
"55665",0,2,0.80841052672681,"1990-1995","2005-2010",1,2280,"CEPAL2010",65.4513012500026,69.6951440457443,"Infectious","HONDURAS",4.24384279574177,70.0763227759258,74.5442513441424,4.46792856821658
"55973",0,2,0.0236272364149747,"2005-2010","2010-2015",1,2280,"CEPAL2010",69.6951440457443,70.6931985942794,"Infectious","HONDURAS",0.99805454853508,74.5442513441424,75.5780459620477,1.03379461790539
"56897",0,2,0.16351692492468,"1990-1995","1995-2000",1,2310,"CEPAL2010",69.0432851007216,71.2763263944137,"Infectious","MEXICO",2.23304129369212,74.6269634857135,76.0731808153069,1.44621732959347
"57205",0,2,0.0689474858302282,"1995-2000","2000-2005",1,2310,"CEPAL2010",71.2763263944137,72.4402518380407,"Infectious","MEXICO",1.16392544362695,76.0731808153069,77.3636437270723,1.29046291176537
"57513",0,2,0.0348874833328953,"2000-2005","2005-2010",1,2310,"CEPAL2010",72.4402518380407,73.7513296157977,"Infectious","MEXICO",1.31107777775701,77.3636437270723,78.6013201664567,1.2376764393844
"57821",0,2,0.0213694439516615,"2005-2010","2010-2015",1,2310,"CEPAL2010",73.7513296157977,74.8620855280536,"Infectious","MEXICO",1.11075591225597,78.6013201664567,79.6542079948037,1.052887828347
"59361",0,2,0.665409683945551,"1990-1995","1995-2000",1,2340,"CEPAL2010",63.5424371102627,65.9074672420307,"Infectious","NICARAGUA",2.36503013176801,68.7145290040668,71.0720849969969,2.35755599293006
"59669",0,2,0.265032635772054,"1995-2000","2000-2005",1,2340,"CEPAL2010",65.9074672420307,67.9789508757958,"Infectious","NICARAGUA",2.0714836337651,71.0720849969969,73.8114141616589,2.73932916466197
"59977",0,2,0.0728288860945421,"2000-2005","2005-2010",1,2340,"CEPAL2010",67.9789508757958,69.9118577057347,"Infectious","NICARAGUA",1.93290682993883,73.8114141616589,75.9900766976155,2.17866253595662
"60285",0,2,0.0592698060063548,"2005-2010","2010-2015",1,2340,"CEPAL2010",69.9118577057347,71.515269020556,"Infectious","NICARAGUA",1.60341131482134,75.9900766976155,77.6174467177849,1.62737002016938
"61825",0,2,0.164756406719633,"1990-1995","1995-2000",1,2360,"CEPAL2010",66.3149552743947,67.2158928718725,"Infectious","PARAGUAY",0.900937597477778,70.8158444765854,71.7337317431767,0.917887266591308
"62133",0,2,0.200891017650954,"1995-2000","2000-2005",1,2360,"CEPAL2010",67.2158928718725,68.7137623641271,"Infectious","PARAGUAY",1.49786949225461,71.7337317431767,72.9309080797874,1.1971763366107
"62441",0,2,0.150818085264687,"2000-2005","2005-2010",1,2360,"CEPAL2010",68.7137623641271,69.7112609361457,"Infectious","PARAGUAY",0.997498572018614,72.9309080797874,73.9296682502761,0.998760170488708
"62749",0,2,0.0533045684400431,"2005-2010","2010-2015",1,2360,"CEPAL2010",69.7112609361457,70.71283649537,"Infectious","PARAGUAY",1.00157555922425,73.9296682502761,74.9270655100444,0.997397259768277
"64289",0,2,0.138384222670044,"1990-1995","1995-2000",1,2370,"CEPAL2010",64.411697469429,66.8106826060351,"Infectious","PERU",2.39898513660609,69.2119370538342,71.8770030375905,2.66506598375635
"64597",0,2,0.0350733707203033,"1995-2000","2000-2005",1,2370,"CEPAL2010",66.8106826060351,69.0208485305585,"Infectious","PERU",2.21016592452341,71.8770030375905,74.333599980903,2.45659694331248
"64905",0,2,-0.00441823507536764,"2000-2005","2005-2010",1,2370,"CEPAL2010",69.0208485305585,70.5185731922842,"Infectious","PERU",1.49772466172566,74.333599980903,75.876385978588,1.54278599768497
"65213",0,2,0.0373960850709078,"2005-2010","2010-2015",1,2370,"CEPAL2010",70.5185731922842,71.5547723808322,"Infectious","PERU",1.0361991885481,75.876385978588,76.8380197663929,0.961633787804942
"66753",0,2,0.402042918800594,"1990-1995","1995-2000",1,2170,"CEPAL2010",66.388601116601,67.1903042279084,"Infectious","DOMINICAN REPUBLIC",0.801703111307447,71.823414081273,73.0548439526611,1.23142987138807
"67061",0,2,0.212655781415819,"1995-2000","2000-2005",1,2170,"CEPAL2010",67.1903042279084,68.0662922003508,"Infectious","DOMINICAN REPUBLIC",0.87598797244236,73.0548439526611,74.2585401619382,1.20369620927713
"67369",0,2,0.079770033741393,"2000-2005","2005-2010",1,2170,"CEPAL2010",68.0662922003508,69.1416396889018,"Infectious","DOMINICAN REPUBLIC",1.07534748855099,74.2585401619382,75.3563401308104,1.09779996887218
"67677",0,2,0.0158032380572801,"2005-2010","2010-2015",1,2170,"CEPAL2010",69.1416396889018,70.120471405165,"Infectious","DOMINICAN REPUBLIC",0.978831716263272,75.3563401308104,76.356288598964,0.999948468153576
"69217",0,2,0.0124669169375405,"1990-1995","1995-2000",1,2460,"CEPAL2010",69.2307292128183,70.4623831792813,"Infectious","URUGUAY",1.23165396646306,76.9256776608056,77.9943528231265,1.06867516232087
"69525",0,2,0.018862980787774,"1995-2000","2000-2005",1,2460,"CEPAL2010",70.4623831792813,71.6039276030108,"Infectious","URUGUAY",1.14154442372946,77.9943528231265,78.9409855585438,0.946632735417296
"69833",0,2,0.016742989239597,"2000-2005","2005-2010",1,2460,"CEPAL2010",71.6039276030108,72.7677763750715,"Infectious","URUGUAY",1.16384877206069,78.9409855585438,79.8604133629966,0.919427804452809
"70141",0,2,0.0165065964092362,"2005-2010","2010-2015",1,2460,"CEPAL2010",72.7677763750715,73.7307581885979,"Infectious","URUGUAY",0.96298181352644,79.8604133629966,80.6298276124481,0.769414249451572
"71681",0,2,0.0352095732583551,"1990-1995","1995-2000",1,2150,"UN",72.184832934236,73.3408680039416,"Infectious","CUBA",1.15603506970557,75.5045308002575,76.8024285249118,1.29789772465428
"71947",0,2,0.0331122022835483,"1995-2000","2000-2005",1,2150,"UN",73.3408680039416,74.3124565869666,"Infectious","CUBA",0.971588583025053,76.8024285249118,77.523051662611,0.720623137699192
"72213",0,2,-0.000120774248956913,"2000-2005","2005-2010",1,2150,"UN",74.3124565869666,75.2100412024972,"Infectious","CUBA",0.897584615530576,77.523051662611,78.3103428878413,0.787291225230305
"72479",0,2,0.00653915676479249,"2005-2010","2010-2015",1,2150,"UN",75.2100412024972,75.5609292177652,"Infectious","CUBA",0.350888015268012,78.3103428878413,78.6762811628713,0.36593827502999
