"","V1","V2","V3"
"newF","2005","2000","0"
"newF","2005","2001","0"
"newF","2005","2002","0"
"newF","2005","2003","0"
"newF","2005","2004","0"
"newF","2010","1998","0"
"newF","2010","1999","0"
"newF","2010","2000","0"
"newF","2010","2001","0"
"newF","2010","2002","0"
"newF","2010","2003","0"
"newF","2010","2004","0"
"newF","2020","1997","0"
"newF","2020","1998","0"
"newF","2020","1999","0"
"newF","2020","2000","0"
"newF","2020","2001","0"
"newF","2020","2002","0"
"newF","2020","2003","0"
"newF","2020","2004","0"
"newF","2025","1999","0"
"newF","2025","2000","0"
"newF","2025","2001","0"
"newF","2025","2002","0"
"newF","2025","2003","0"
"newF","2025","2004","0"
"newF","2030","1999","0"
"newF","2030","2000","0"
"newF","2030","2001","0"
"newF","2030","2002","0"
"newF","2030","2003","0"
"newF","2030","2004","0"
"newF","2040","2000","0"
"newF","2040","2001","0"
"newF","2040","2002","0"
"newF","2040","2003","0"
"newF","2040","2004","0"
"newF","2045","1997","0"
"newF","2045","1998","0"
"newF","2045","1999","0"
"newF","2045","2000","0"
"newF","2045","2001","0"
"newF","2045","2002","0"
"newF","2045","2003","0"
"newF","2045","2004","0"
"newF","2050","1996","1"
"newF","2050","1997","1"
"newF","2050","1998","1"
"newF","2050","1999","1"
"newF","2050","2000","0"
"newF","2050","2001","0"
"newF","2050","2002","0"
"newF","2050","2003","0"
"newF","2050","2004","0"
"newF","2060","2000","0"
"newF","2060","2001","0"
"newF","2060","2002","0"
"newF","2060","2003","0"
"newF","2070","1996","0"
"newF","2070","1997","0"
"newF","2070","1998","0"
"newF","2070","1999","0"
"newF","2070","2000","0"
"newF","2070","2001","0"
"newF","2070","2002","0"
"newF","2070","2003","0"
"newF","2070","2004","0"
"newF","2085","1996","0"
"newF","2085","1997","0"
"newF","2085","1998","0"
"newF","2085","1999","0"
"newF","2085","2000","0"
"newF","2085","2001","0"
"newF","2085","2002","0"
"newF","2085","2003","0"
"newF","2085","2004","0"
"newF","2090","2000","1"
"newF","2090","2001","2"
"newF","2090","2002","2"
"newF","2090","2003","2"
"newF","2090","2004","2"
"newF","2110","1998","0"
"newF","2110","1999","0"
"newF","2110","2000","0"
"newF","2110","2001","0"
"newF","2110","2002","0"
"newF","2110","2003","0"
"newF","2110","2004","0"
"newF","2120","1997","0"
"newF","2120","1998","0"
