"","Year","Cause","Age","Female","Male"
"2310",1998,1,Total,195109,248981
"2310",1998,1,0,18548,23555
"2310",1998,1,1,1839,2181
"2310",1998,1,2,977,1146
"2310",1998,1,3,630,749
"2310",1998,1,4,466,550
"2310",1998,1,5 - 9,1613,2236
"2310",1998,1,10 - 14,1548,2483
"2310",1998,1,15 - 19,2440,5673
"2310",1998,1,20 - 24,2869,8333
"2310",1998,1,25 - 29,2995,9026
"2310",1998,1,30 - 34,3415,9179
"2310",1998,1,35 - 39,4148,10373
"2310",1998,1,40 - 44,5115,10677
"2310",1998,1,45 - 49,6612,11503
"2310",1998,1,50 - 54,8260,12532
"2310",1998,1,55 - 59,10406,14601
"2310",1998,1,60 - 64,13386,16625
"2310",1998,1,65 - 69,16125,19328
"2310",1998,1,70 - 74,17397,20251
"2310",1998,1,75 - 79,19022,20788
"2310",1998,1,80 - 84,17723,16586
"2310",1998,1,85 - 89,18552,15624
"2310",1998,1,90 - 94,11737,8256
"2310",1998,1,95+,8515,5028
"2310",1998,1,UNK,771,1698
"2310",1998,2,Total,8288,12699
"2310",1998,2,0,1396,1760
"2310",1998,2,1,381,499
"2310",1998,2,2,162,173
"2310",1998,2,3,87,87
"2310",1998,2,4,59,50
"2310",1998,2,5 - 9,146,161
"2310",1998,2,10 - 14,108,133
"2310",1998,2,15 - 19,147,142
"2310",1998,2,20 - 24,278,423
"2310",1998,2,25 - 29,254,899
"2310",1998,2,30 - 34,352,1028
"2310",1998,2,35 - 39,305,999
"2310",1998,2,40 - 44,300,833
"2310",1998,2,45 - 49,294,668
"2310",1998,2,50 - 54,338,548
"2310",1998,2,55 - 59,376,532
"2310",1998,2,60 - 64,417,546
"2310",1998,2,65 - 69,469,604
"2310",1998,2,70 - 74,486,595
"2310",1998,2,75 - 79,484,644
"2310",1998,2,80 - 84,494,498
"2310",1998,2,85 - 89,454,462
"2310",1998,2,90 - 94,268,204
"2310",1998,2,95+,195,141
"2310",1998,2,UNK,38,70
"2310",1998,3,Total,28803,26424
"2310",1998,3,0,57,78
"2310",1998,3,1,52,75
"2310",1998,3,2,55,64
"2310",1998,3,3,64,68
"2310",1998,3,4,58,58
"2310",1998,3,5 - 9,288,337
"2310",1998,3,10 - 14,268,306
"2310",1998,3,15 - 19,326,450
"2310",1998,3,20 - 24,340,468
"2310",1998,3,25 - 29,471,466
"2310",1998,3,30 - 34,703,470
"2310",1998,3,35 - 39,1143,623
"2310",1998,3,40 - 44,1575,785
"2310",1998,3,45 - 49,2032,1024
"2310",1998,3,50 - 54,2294,1389
"2310",1998,3,55 - 59,2586,2070
"2310",1998,3,60 - 64,2929,2691
"2310",1998,3,65 - 69,3139,3328
"2310",1998,3,70 - 74,3097,3488
"2310",1998,3,75 - 79,2946,3297
"2310",1998,3,80 - 84,1919,2284
"2310",1998,3,85 - 89,1479,1663
"2310",1998,3,90 - 94,622,643
"2310",1998,3,95+,318,264
"2310",1998,3,UNK,42,35
"2310",1998,4,Total,50418,49283
"2310",1998,4,0,181,217
"2310",1998,4,1,45,34
"2310",1998,4,2,20,18
"2310",1998,4,3,20,13
"2310",1998,4,4,4,16
"2310",1998,4,5 - 9,43,66
"2310",1998,4,10 - 14,87,69
"2310",1998,4,15 - 19,164,181
"2310",1998,4,20 - 24,213,274
"2310",1998,4,25 - 29,269,412
"2310",1998,4,30 - 34,361,532
